date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,benchmark_value
2025-03-17,100000.0,100000.0,100000.0,100000.0,100000.0
2025-03-18,99186.99829805976,100000.0,100000.0,100000.0,98919.14862852331
2025-03-19,99627.35505587689,100000.0,100000.0,100000.0,99996.46136562544
2025-03-20,99685.61577936604,100000.0,100000.0,100000.0,99707.28416453495
2025-03-21,99614.58782652863,100000.0,100000.0,100000.0,99740.18802016565
2025-03-24,101124.86735672854,100000.0,100000.0,100000.0,101526.38177139466
2025-03-25,100562.50101307573,100000.0,100000.0,100000.0,101770.42777407705
2025-03-26,100231.62538329771,100000.0,100000.0,100000.0,100555.47849196254
2025-03-27,100806.72287155024,100000.0,100000.0,100000.0,100288.4259217925
2025-03-28,99705.97680704917,100000.0,100000.0,100000.0,98268.79118289908
2025-03-31,100905.814444488,99904.0,99904.0,99904.0,98928.44707084916
2025-04-01,99793.89367867775,99080.28957143691,99167.71194365174,98462.50704934302,99207.86852917155
2025-04-02,99550.61193968299,99154.9027957275,99698.26090509396,98382.03479251664,99835.69848396195
2025-04-03,98983.75687526209,96644.9394231083,97386.87299695205,97231.23313617095,94915.71190681875
2025-04-04,93418.22875133867,90941.05033199859,90978.56069747315,91241.91704114669,89359.05967705445
2025-04-07,92279.15310723346,90956.79585850281,90120.80286082884,90187.57274258758,89199.89190288597
2025-04-08,91436.17475745198,89749.662096457,88243.55124426486,88422.91173043704,87802.77916722107
2025-04-09,94926.31162231584,96169.27662794455,93640.11712671028,92450.34312311812,97023.76895265354
2025-04-10,93167.11984655756,93226.86900720178,91008.7734115291,90062.65760702713,92772.26851723818
2025-04-11,94596.16470871492,95177.39749783603,91987.32026732051,91500.84173641448,94427.58723713666
2025-04-14,95195.82098961869,95742.10534643896,92995.02247850782,92620.1123304893,95343.679792133
2025-04-15,94817.02504413303,95653.90157976226,93201.77862710659,92249.0959094695,95076.63811006874
2025-04-16,94406.14231067256,94022.3790647213,91904.7572648587,91514.61031511013,92963.26766861921
2025-04-17,93164.69089372945,94457.52388473463,92890.79976803948,92330.96773231188,93095.90657308412
2025-04-21,91124.50832649205,92445.45708364004,90940.20336211841,90855.94590149129,90879.97561935357
2025-04-22,92756.997970271,94194.30133012238,93132.38861291097,92849.31913223342,93244.46388818178
2025-04-23,92540.53049876368,94976.1177825554,93715.73823639858,92685.39965866273,94689.32641169193
2025-04-24,92455.73018778273,95991.0449525292,94229.60237533972,92552.41245409328,96682.44861304045
2025-04-25,92593.15852092042,97042.78707199956,95665.35154396947,92738.91628702848,97381.00770289934
2025-04-28,93291.80254254243,97501.25257619919,96407.03585625964,93341.352448241,97418.14703167377
