date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,benchmark_value
2025-03-17,100000.0,100000.0,100000.0,100000.0,100000.0
2025-03-18,99186.99041706888,100000.0,100000.0,100000.0,98919.14862852331
2025-03-19,99627.35255829466,100000.0,100000.0,100000.0,99996.47225373119
2025-03-20,99685.61024371009,100000.0,100000.0,100000.0,99707.28416453495
2025-03-21,99614.58462173563,100000.0,100000.0,100000.0,99740.18802016565
2025-03-24,101124.86040535729,100000.0,100000.0,100000.0,101526.38177139466
2025-03-25,100562.49950811111,100000.0,100000.0,100000.0,101770.4386621828
2025-03-26,100231.61792220523,100000.0,100000.0,100000.0,100555.46760385674
2025-03-27,100806.72179391008,100000.0,100000.0,100000.0,100288.42592179248
2025-03-28,99705.97512196643,100000.0,100000.0,100000.0,98268.79118289905
2025-03-31,100905.81512343558,99904.0,99904.0,99904.0,98928.44707084913
2025-04-01,99793.890954627,99080.28405665215,99432.44350085272,98432.38196116459,99207.85764106577
2025-04-02,99550.61120465847,99154.8988752722,99890.12853825268,98332.86316438779,99835.69848396193
2025-04-03,98983.75405020277,96644.93446583218,97964.67184507356,97723.48602577309,94915.70101871296
2025-04-04,93418.22756132852,90941.04629459267,91547.24509375775,92236.44848609608,89359.05967705444
2025-04-07,92279.1511245974,90956.79282086453,90691.87961432603,91008.46709740431,89199.89190288594
2025-04-08,91436.17168254872,89749.65812241242,88821.60641327742,89133.28693125013,87802.77916722106
2025-04-09,94926.30914978674,96169.27409036843,95604.0536994754,92786.73535001479,97023.76895265351
2025-04-10,93167.11737011705,93226.86327514013,92640.64662697166,90627.0464466203,92772.27940534393
2025-04-11,94596.16796935421,95177.39847704757,93952.97538164198,91869.40628410212,94427.58723713663
2025-04-14,95195.81974159602,95742.10393356114,94734.04698415544,93111.65853033937,95343.67979213297
2025-04-15,94817.02245754997,95653.8987090889,94688.45247081984,92333.69754363637,95076.62722196295
2025-04-16,94406.14288262962,94022.37482417101,92787.34397062434,91469.81345345895,92963.26766861918
2025-04-17,93164.69051834542,94457.51979438808,93439.31442663632,92417.86380255343,93095.90657308411
2025-04-21,91124.50606711382,92445.45470821195,91118.06373397772,91026.9838152228,90879.97017530067
2025-04-22,92756.99720447029,94194.29861808331,93123.31318623578,92771.18862195477,93244.4747762875
2025-04-23,92540.52878570903,94976.11128287982,94012.87753050365,92457.70539996818,94689.32641169189
2025-04-24,92455.7284599532,95991.04198028578,94695.32916202981,91668.92660428984,96682.44861304041
2025-04-25,92593.1596811318,97042.7854734899,96595.59822509755,91737.42585725474,97381.0077028993
2025-04-28,93291.80218350078,97501.24920224107,97080.13671604285,92343.87927974646,97418.13614356794
2025-04-29,93270.12573598539,97759.88031215852,97666.94787375932,92842.48113623651,98031.81156086005
2025-04-30,92979.77756928712,97756.76894856823,97164.58846845895,92895.35618681315,98070.72565087462
2025-05-01,91622.35808970936,97914.93640547564,97321.79779549385,93045.65802682492,98765.73521825316
2025-05-02,93212.58638775742,99593.05262586188,98989.74850325364,94640.32206587131,100231.82954801075
2025-05-05,92905.75112313878,99421.62104078259,98819.35539806122,94477.41571852683,99657.05733262749
2025-05-06,92076.68606466937,99046.5824566085,98446.58868243622,94121.02768284021,98824.09546516927
2025-05-07,92902.51158059726,99855.37736397925,99250.48415868105,94889.60147890968,99239.70535043694
2025-05-08,92182.87941061129,99809.41325570157,99204.79848685337,94845.92315099246,99931.18717154667
2025-05-09,91703.33723497648,99683.7146303046,99079.86130512046,94726.47547791533,99803.85077459071
2025-05-12,92467.9960979164,100711.17304388042,100101.09569121269,95702.83871416835,103102.1193262353
2025-05-13,92394.93797750767,101333.07220811512,100719.22758132798,96293.81103245617,103783.00702043284
2025-05-14,91963.07396595021,101578.72764860543,100963.39491661337,96527.25010669137,103915.64592489778
2025-05-15,93492.77456712452,102970.22450496341,102346.46251241647,97849.5482707419,104423.19497526984
2025-05-16,94487.97736805717,103518.14961877797,102891.06846418783,98370.22524440788,105084.60384824856
2025-05-19,94797.51127523046,103741.67411534511,103113.23891801074,98582.63393946209,105199.56046894637
2025-05-20,94737.62903848398,103639.24964164008,103011.43490030755,98485.30300197907,104845.86035307513
2025-05-21,93770.74400142445,102522.81764904578,101901.76590981013,97424.39081425154,103079.1345349592
2025-05-22,93295.39943151857,102209.86965156622,101590.71365517672,97127.00562030033,103119.80161000245
2025-05-23,93086.62307868936,101840.93267733783,101224.01158781849,96776.41576345408,102415.94001263457
2025-05-27,94400.74465968175,103404.37093226676,102777.97901401216,98262.10473547937,104545.2288647168
2025-05-28,94225.44785303224,103323.8979668974,102697.99352914956,98185.63366486401,103940.39458930826
2025-05-29,94331.61487765444,103373.4191629844,102747.21474104119,98232.69218775482,104350.6801908554
2025-05-30,95518.91222554228,104558.21125246766,103900.17039241972,99358.56494668135,104233.97058512895
2025-06-02,95998.10719609173,105283.61554060082,104514.91869247254,100047.89511225815,104821.11168866462
2025-06-03,96867.31857476162,105662.29889646717,104822.44556446736,100407.74666630993,105418.868695324
2025-06-04,96955.30762565811,106031.5151257779,104866.65710671141,100758.60189097287,105390.55962032737
2025-06-05,95171.48769123424,105209.02417524098,103979.09815534363,99977.01315157051,104881.22492060934
2025-06-06,95507.04071508678,104954.86816027357,103929.46006502009,99735.49623370019,105958.2545669615
2025-06-09,95701.15579835833,104413.17379882954,103580.02483179883,99220.74015908803,106053.75414265202
2025-06-10,96545.4522885246,104653.13536381036,104127.30901121788,99448.76851241637,106655.03889558022
2025-06-11,97143.59902918836,104965.2640160596,104174.02442012868,99745.37510691275,106350.8687728473
2025-06-12,97228.22078285065,104958.32657116493,104329.56298258637,99738.78265892732,106773.5341506526
