date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,benchmark_value
2025-03-17,100000.0,100000.0,100000.0,100000.0,100000.0
2025-03-18,99186.99693502582,100000.0,100000.0,100000.0,98919.15939894601
2025-03-19,99627.35418739675,100000.0,100000.0,100000.0,99996.47225334709
2025-03-20,99685.61302925814,100000.0,100000.0,100000.0,99707.3167969846
2025-03-21,99614.58372726424,100000.0,100000.0,100000.0,99740.19887998396
2025-03-24,101124.86278845966,100000.0,100000.0,100000.0,101526.39282569567
2025-03-25,100562.4975620818,100000.0,100000.0,100000.0,101770.449743057
2025-03-26,100231.61865024152,100000.0,100000.0,100000.0,100555.47855244357
2025-03-27,100806.71936710211,100000.0,100000.0,100000.0,100288.43684130353
2025-03-28,99705.97870141508,100000.0,100000.0,100000.0,98268.8018825101
2025-03-31,100905.81981253088,99904.0,99904.0,99904.0,98928.45784228422
2025-04-01,99793.89299775964,99080.28292458908,99432.44236878966,99072.88104194346,99207.86844292338
2025-04-02,99550.61283553856,99154.89591143547,99890.12556355001,99116.07376871654,99835.70935417953
2025-04-03,98983.7590274077,96644.93349209415,97964.67085698413,97056.93516348633,94915.71135323598
2025-04-04,93418.23062757142,90941.04509410054,91547.24388229128,91790.00967080229,89359.06940656439
2025-04-07,92279.15428908695,90956.79411278902,90691.88092341874,91503.98071432709,89199.90161506555
2025-04-08,91436.1725604723,89749.65612884554,88821.60443654719,90286.88493983784,87802.78872728153
2025-04-09,94926.31331945499,96169.27388417716,95604.05348181612,95765.42919020464,97023.77951670521
2025-04-10,93167.11975269107,93226.85970977019,92640.64307035189,93088.36844420842,92772.2895064889
2025-04-11,94596.1710103969,95177.39639962342,93952.97332735661,95002.86622803113,94427.5975185133
2025-04-14,95195.82627931183,95742.10414903994,94734.04718836467,95729.1669790716,95343.69017325478
2025-04-15,94817.02475902054,95653.89468025893,94688.44847550624,95287.04660027906,95076.63757400778
2025-04-16,94406.14341615877,94022.37245019067,92787.34162564942,94229.52205925937,92963.27779055918
2025-04-17,93164.6947757874,94457.51936175849,93439.31399187726,94830.24842395863,93095.91670946595
2025-04-21,91124.508305063,92445.45230902996,91118.06135554893,93061.04128093105,90879.98007040899
2025-04-22,92757.00008640904,94194.29589330968,93123.31047928295,94880.73825118906,93244.48492884563
2025-04-23,92540.53064672161,94976.11014112583,94012.87638507178,95520.08663269415,94689.33672156699
2025-04-24,92455.73007576837,95991.03889125564,94695.32609283317,96415.64948732269,96682.45913992879
2025-04-25,92593.16054199288,97042.7832374443,96595.59596917013,97168.83039186182,97381.01830584754
2025-04-28,93291.80614507776,97501.24930572393,97080.1367880621,97770.18453477706,97418.14675055878
2025-04-29,93270.13198908058,97759.88198631699,97666.94950983235,97965.36847835776,98031.8222346685
2025-04-30,92979.77771964521,97756.76507939424,97164.58455810708,97873.20408058859,98070.73632892009
2025-05-01,91622.35768159635,97914.92945968146,97321.79082705446,98031.55685195493,98765.74597197202
2025-05-02,93212.58673029784,99593.04889413896,98989.74472830644,99711.67511023475,100231.84046135953
2025-05-05,92905.75009942392,99421.61454341581,98819.34887433688,99540.03656244602,99657.06818339445
2025-05-06,92076.68634475122,99046.5760660503,98446.58226512134,99164.55137322708,98824.10622524246
2025-05-07,92902.50880698528,99855.36838879446,99250.47517186185,99974.30705610452,99239.71615576217
2025-05-08,92182.87750442233,99809.40573674286,99204.79094746924,99928.28965750629,99931.19805216117
2025-05-09,91703.33498615623,99683.70738278117,99079.85403561045,99802.44158305443,99803.86164134071
2025-05-12,92467.9921260466,100711.16321265764,100101.08585297546,100831.12122522159,103102.13055210428
2025-05-13,92394.93918244474,101333.06672136781,100719.22206083765,101453.76548904304,103783.01832043761
2025-05-14,91963.07364084528,101578.72174347733,100963.38898011428,101699.71311315702,103915.6572393444
2025-05-15,93492.77635972103,102970.22228134658,102346.46023420744,103092.87108038843,104423.20634497897
2025-05-16,94487.97659533539,103518.14181841665,102891.06064265432,103641.44324956615,105084.61528997257
2025-05-19,94797.50959046891,103741.6680360807,103113.23280700052,103865.2357114078,105199.57192318699
2025-05-20,94737.62872860664,103639.2447395069,103011.42995936555,103762.69041748332,104845.87176880451
2025-05-21,93770.74297722668,102522.80812676708,101901.75637744798,102644.92400660648,103079.1457583256
2025-05-22,93295.39558449217,102209.8611081063,101590.70509591082,102331.604233812,103119.8128377967
2025-05-23,93086.62188582207,101840.92453930786,101224.00343177043,101962.22822120074,102415.95116379163
2025-05-27,94400.74078570015,103404.36235006947,102777.97041545398,103527.52825742537,104545.24024771313
2025-05-28,94225.44300877005,103323.88554607292,102697.98111527062,103446.95559675159,103940.40590644957
2025-05-29,94331.61383567266,103373.41237300512,102747.2079238648,103496.5414155526,104350.69155266906
2025-05-30,95518.91127999921,104558.20450472091,103900.163618073,104682.74476430619,104233.98193423514
2025-06-02,95998.10528504982,105283.60547900842,104729.51369230806,105409.00977050845,104821.12310169933
2025-06-03,96867.31703556597,105662.2855252117,105010.731470026,105788.14086607202,105418.88017344315
2025-06-04,96955.30620171396,106031.50610791767,105232.97968408174,106157.80123088243,105390.57109536418
2025-06-05,95171.48640797912,105209.01532129319,104424.6264917823,105334.33076775567,104881.23634018927
2025-06-06,95507.03917456912,104954.85829576597,104183.91593583142,105079.87101340786,105958.26610380957
2025-06-09,95701.15797542754,104413.16958856543,103784.99629479984,104537.53709569966,106053.76568989817
2025-06-10,96545.45338680533,104653.12819663461,104010.3521049149,104777.78152072104,106655.0505082949
2025-06-11,97143.59835212473,104965.25717734577,104200.22205181047,105090.2822811932,106350.88035244362
2025-06-12,97228.21958606005,104958.31921850194,104336.9876943987,105083.3360584814,106773.54577626917
2025-06-13,95486.99944425942,102866.50567439219,102871.70387294184,102989.03093560919,105579.80639421496
2025-06-16,96678.10694952832,103480.14192925228,103191.80316863512,103603.39809837683,106584.31047741839
2025-06-17,96042.2368834734,103111.62649155055,102580.7621619985,103234.44371847548,105673.5421069771
2025-06-18,95520.11919563264,102156.14719545952,102160.97790113643,102277.82634201927,105657.62369461117
2025-06-20,95242.26078663119,102199.66506200966,102259.11901262595,102321.39604310908,105409.47284903537
2025-06-23,97304.5229403412,103841.05517443911,103810.84044351583,103964.74123072035,106450.65896456492
2025-06-24,98848.68628124858,105423.35595234174,105115.63062264353,105548.92670194336,107626.63984417805
2025-06-25,98705.31833571421,104752.247512148,104631.0934562724,104877.01889818224,107686.94906859312
2025-06-26,99497.49462092976,105235.37005852339,105180.2447726641,105360.71689636097,108529.47078465026
2025-06-27,99826.65706635278,105832.17450910585,105705.65687930406,105958.23220633078,109068.68250530542
2025-06-30,100603.73895807027,106986.81880857486,106644.75239190744,107114.2518134714,109590.16838784034
2025-07-01,98464.79474779381,105912.88871449766,105466.32767684812,106039.04255117087,109554.69493538605
2025-07-02,99672.42088680851,107175.81837941601,106737.84476589487,107303.47650347682,110051.33415785327
2025-07-03,101011.31876564785,108775.38238411666,108356.04149810698,108904.94576388947,110918.69164587121
2025-07-07,100077.7819862114,107987.74560334282,107507.59780943539,108116.37082154713,110092.13189460782
2025-07-08,99992.96075503393,107271.6308566986,106609.84883461766,107399.40310390115,110031.83355829967
2025-07-09,101102.90614112343,108308.26090281652,107555.2169299111,108437.2678898049,110691.65283967808
2025-07-10,101292.60527086121,108319.55656431518,107286.41525180882,108448.57700567208,111003.83664224709
2025-07-11,101041.83711302503,107547.78660192603,106637.84197100143,107675.88778083086,110613.60688903583
2025-07-14,101243.2007949297,107792.66081250363,106992.89953374218,107921.05366338097,110824.67284232822
2025-07-15,102832.47119253351,108291.92427601395,107658.90008037855,108420.91180429266,110351.0946303884
2025-07-16,103298.86622969752,108586.54851451126,107985.73177555497,108715.88697248808,110720.02724639873
2025-07-17,104610.1147397319,109966.29592215897,109632.7850455648,110097.27781023413,111397.59414211125
2025-07-18,103427.35389470597,109732.29068795589,108675.24892400904,109862.9938501984,111316.00955670913
2025-07-21,103857.98050071337,110042.48121576583,109080.69176019992,110173.55384885987,111527.08639810848
2025-07-22,101990.34234978406,108833.1207933577,107573.30352192839,108962.7529458921,111543.04836290223
2025-07-23,103248.73197050925,110218.62883907041,108637.8819387404,110349.91128325327,112492.00132442922
2025-07-24,104178.36487786066,110896.54731393985,109327.8816452629,111028.63723318637,112529.23865020998
2025-07-25,104794.65837620544,111330.4749604281,109791.58152160034,111463.08173497058,113004.60251169017
2025-07-28,105865.44412347165,111838.27421640854,110135.11645584163,111971.48583541496,112976.22810496952
2025-07-29,105877.38887467785,111389.99983552056,109952.41636237332,111522.6775107009,112678.23150576084
2025-07-30,106759.95515970248,111974.0972291525,110793.79431094251,112107.47062822533,112536.33769594363
2025-07-31,107698.80236329694,113051.2310890652,110031.88343227629,113158.98167944621,112114.19490125185
2025-08-01,104486.23788311741,109800.31314189482,108998.40925868269,110204.80609704841,110276.58731450602
2025-08-04,107048.24126606934,112269.0280250731,111146.47276131801,112391.35896842463,111952.76782756016
2025-08-05,106397.89091883936,111752.19499415717,110855.52513445225,112114.45871916534,111385.1708120774
2025-08-06,106759.34639764873,113136.41395255078,110539.45964950768,113049.50940937249,112238.35198484194
2025-08-07,107128.30062689866,112466.88662653467,110914.63741329772,112417.26325628835,112144.33318129898
2025-08-08,107828.47570674773,113543.30690070626,111917.58733872137,113822.81278139033,113018.78971505055
2025-08-11,107665.76292615011,113437.30172926153,112105.06895859394,113809.77200454718,112795.30043172426
2025-08-12,109136.40861400678,114749.59909138964,112741.40549310736,114884.63991031014,113996.12797140512
2025-08-13,108792.19819996945,113847.76401127965,112833.25755426932,114311.17251649314,114386.34683650943
2025-08-14,109228.09931479287,114820.34273651318,113146.06375251664,115181.41558756951,114396.98451700296
2025-08-15,108896.40806729173,114574.00287222772,112887.35649201596,115252.72537353364,114129.15886216226
2025-08-18,108551.40217759027,114505.16092070565,113339.71412632486,115418.3555651351,114104.31220209452
2025-08-19,105394.58848398275,112109.31257234709,111585.74242192507,113704.26024417389,113485.2797693637
2025-08-20,104600.21708831412,111718.1319557144,112162.94904281177,113562.81378205979,113183.74453539515
2025-08-21,104049.70778091079,111215.82316520088,111282.57583173511,113143.08893927265,112729.66692300892
2025-08-22,106057.98269943723,113330.25121288984,112465.84965284953,115236.22630225749,114460.84326428488
2025-08-25,105811.09798325512,113310.68627592537,111697.88584388627,115200.19077702492,113957.08321987012
2025-08-26,106219.5500100307,113669.14575783283,112218.18191356938,115381.72560463996,114434.23273089068
2025-08-27,106479.04388050959,113787.92275699566,112359.71933597839,115424.64826914674,114694.97022810469
2025-08-28,107622.51803963757,114890.78679038916,112546.67258198654,115998.28809732657,115101.15105800271
2025-08-29,104967.19221106055,112888.74598235736,111335.12399012056,114618.28390639328,114414.72124323013
2025-09-02,104915.48446412702,112372.29716390773,111387.83964160974,114430.01796518422,113566.87524287279
2025-09-03,105811.63353908765,113593.97968961971,111205.46288191596,114379.58957490107,114182.35815273678
2025-09-04,106365.21726817169,114971.88518175672,111645.67924853826,115797.20154161572,115136.62451045706
2025-09-05,105834.1758194056,114916.07476606594,110923.91054561721,115832.73707139774,114803.16534690102
2025-09-08,105727.63230258191,115549.30143220878,111144.61460555563,116348.1690672127,115085.18909320899
2025-09-09,107268.69977481232,116250.17217398521,111443.19766637376,116601.70250951625,115351.25087472325
2025-09-10,107194.73886468704,116884.30581505354,112935.78864673052,117491.99530899404,115684.72092638622
2025-09-11,108571.62014110122,117172.65838325318,113641.94748898529,118276.12278563424,116646.08632984011
2025-09-12,108504.70745816709,116884.67786588508,113257.23468476419,117971.64832775986,116607.05246641203
2025-09-15,109095.35504836774,118210.20011089825,113607.2596867857,118590.02417503696,117227.85966057624
2025-09-16,109171.56368003578,118884.03147199731,113570.528156296,119086.64984098623,117066.45436309846
2025-09-17,109840.08577788345,118785.11226390087,114057.55619017304,119181.58813023909,116921.01103041442
2025-09-18,109422.04510119336,118223.16544325222,113239.6598120573,118636.86217682094,117467.32179680321
2025-09-19,109922.4689369284,118369.19747340096,113265.97778767894,118683.78426147011,118049.11690375328
2025-09-22,110226.65218776753,117465.71475625338,113125.6913736605,117633.33047185616,118607.61146182302
2025-09-23,110812.60679074336,116489.61269782971,112913.20068610755,117129.78581660558,117961.96849569798
2025-09-24,110692.18151260729,116395.42457374568,112898.3906138072,117131.69108640467,117586.65544901292
2025-09-25,110900.81352437724,115775.7562080144,112777.91648311041,116730.60082946527,117044.17729627172
2025-09-26,111319.38413116349,116121.00577517701,112935.40158157087,117222.63997324533,117714.73225110622
