date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,benchmark_value
2025-03-17,100000.0,100000.0,100000.0,100000.0,100000.0
2025-03-18,99186.99414450186,100000.0,100000.0,100000.0,98919.14851083906
2025-03-19,99627.35708250273,100000.0,100000.0,100000.0,99996.46136524015
2025-03-20,99685.61203403355,100000.0,100000.0,100000.0,99707.30590887764
2025-03-21,99614.58227333365,100000.0,100000.0,100000.0,99740.19887998396
2025-03-24,101124.86518873494,100000.0,100000.0,100000.0,101526.3819375887
2025-03-25,100562.4993116861,100000.0,100000.0,100000.0,101770.44974305698
2025-03-26,100231.61684676477,100000.0,100000.0,100000.0,100555.4894405505
2025-03-27,100806.72040729952,100000.0,100000.0,100000.0,100288.42595319657
2025-03-28,99705.97671817472,100000.0,100000.0,100000.0,98268.80188251009
2025-03-31,100905.81546205755,99904.0,99904.0,99904.0,98928.4578422842
2025-04-01,99793.89375737957,99080.28721824852,99080.28721824852,99206.25923551794,99207.87933103032
2025-04-02,99550.6095400479,99154.89869351445,99154.89869351445,99326.81005222174,99835.69846607256
2025-04-03,98983.75768848594,96644.93893544159,96644.93893544159,98008.35812323313,94915.72224134291
2025-04-04,93418.2307373884,90941.04847752149,90941.04847752149,92492.67651581984,89359.06940656439
2025-04-07,92279.14899719885,90956.79151543217,90956.79151543217,91364.08402035244,89199.90161506554
2025-04-08,91436.17287331975,89749.65920938076,89749.65920938076,89837.13136718862,87802.78328322805
2025-04-09,94926.31008615985,96169.27494989315,96169.27494989315,94640.40144317196,97023.7795167052
2025-04-10,93167.11928950757,93226.86348855813,93226.86348855813,92462.14539746416,92772.28950648889
2025-04-11,94596.16658024989,95177.39708871477,95177.39708871477,93552.69739083842,94427.61929472718
2025-04-14,95195.82208804823,95742.10534442568,95742.10534442568,94526.67745451453,95343.69017325478
2025-04-15,94817.02488200368,95653.90039349456,95653.90039349456,94129.59553443505,95076.63757400778
2025-04-16,94406.14256183054,94022.37584317711,94022.37584317711,92808.20920842256,92963.27779055918
2025-04-17,93164.69116306279,94457.5216090907,94457.5216090907,93575.75396085698,93095.91670946595
2025-04-21,91124.50809767318,92445.45615816908,92445.45615816908,91632.34592356505,90879.98007040899
2025-04-22,92756.99801563297,94194.29798378797,94194.29798378797,93549.68012869253,93244.48492884563
2025-04-23,92540.52869877682,94976.1124875096,94976.1124875096,94005.9564511624,94689.33672156699
2025-04-24,92455.73000049367,95991.04127706152,95991.04127706152,94798.76019037786,96682.44825182183
2025-04-25,92593.16209969079,97042.78904707753,97042.78904707753,95311.10283118061,97381.01830584752
2025-04-28,93291.80369618213,97501.25180418491,97501.25180418491,96102.90239553768,97418.1576386657
2025-04-29,93270.13003695734,97759.88333712443,97759.88333712443,96543.35903133567,98031.82223466846
2025-04-30,92979.77972058006,97756.77048804285,97756.77048804285,96479.07029092856,98070.7254408131
2025-05-01,91622.36384756613,97914.93851440231,97914.93851440231,96635.17103010733,98765.75686007892
2025-05-02,93212.58829749664,99593.0542059041,99593.0542059041,98291.35341981213,100231.85134946644
2025-05-05,92905.75264923357,99421.62075228243,99421.62075228243,98122.16063511181,99657.07907150136
2025-05-06,92076.68695586929,99046.5808015455,99046.5808015455,97752.02253021728,98824.11711334936
2025-05-07,92902.51311463046,99855.37769860214,99855.37769860214,98550.24829292041,99239.71615576213
2025-05-08,92182.87856904267,99809.41070131872,99809.41070131872,98504.88209332287,99931.19805216113
2025-05-09,91703.33690909801,99683.7138650238,99683.7138650238,98380.82813937473,99803.87252944762
2025-05-12,92467.9986329449,100711.1729858919,100711.1729858919,99394.85816766227,103102.13055210422
2025-05-13,92394.94261847457,101333.07640666662,101333.07640666662,100008.63318853854,103782.99654422363
2025-05-14,91963.07732236096,101578.72767502116,101578.72767502116,100251.07374655118,103915.63546313041
2025-05-15,93492.78008061346,102970.22950228944,102970.22950228944,101624.38837154068,104423.20634497888
2025-05-16,94487.97915912226,103518.15038891103,103518.15038891103,102165.14782452097,105084.62617807943
2025-05-19,94797.51435943077,103741.67760913704,103741.67760913704,102385.75350006094,105199.58281129385
2025-05-20,94737.63298957366,103639.25143771723,103639.25143771723,102284.66605882585,104845.87176880443
2025-05-21,93770.74864942711,102522.81891137316,102522.81891137316,101182.82552495299,103079.13487021856
2025-05-22,93295.3978414973,102209.86653531979,102209.86653531979,100873.9634979422,103119.81283779659
2025-05-23,93086.624423652,101840.9339342829,101840.9339342829,100509.8529184872,102415.95116379151
2025-05-27,94400.74551574548,103404.37077521063,103404.37077521063,102052.85533272654,104545.22935960608
2025-05-28,94225.45047246976,103323.89801011205,103323.89801011205,101973.43436247877,103940.39501834253
2025-05-29,94331.61761757664,103373.41933996644,103373.41933996644,102022.30843882223,104350.69155266898
2025-05-30,95518.91557986397,104558.21496967756,104533.40534903597,103191.6185568694,104233.98193423508
2025-06-02,95998.10847587387,105283.61477896263,105291.3868014495,103907.53724812361,104821.13398980621
2025-06-03,96867.3219771137,105662.29866266392,105737.8242613071,104281.27165906274,105418.86928533613
2025-06-04,96955.30924952198,106031.5144164114,105971.25743959226,104645.6616903668,105390.58198347107
2025-06-05,95171.4885009218,105209.0220629299,105267.71328397104,103833.9194735451,104881.23634018919
2025-06-06,95507.04070889036,104954.8657888785,105047.65830940219,103583.0850719311,105958.2661038095
2025-06-09,95701.15831488858,104413.17572651868,104447.54732503559,103048.4750051153,106053.76568989811
2025-06-10,96545.45612617882,104653.13777733596,104684.80580397151,103285.30070478168,106655.07228450874
2025-06-11,97143.60138640541,104965.26354100865,104950.0915356126,103593.34692339803,106350.8694643366
2025-06-12,97228.22215758877,104958.32645740968,105027.01017325613,103586.50050884468,106773.53488816215
2025-06-13,95487.00505508318,102866.51532191728,103093.97896274716,101522.02975588336,105579.80639421492
2025-06-16,96678.10889660624,103480.14976916631,103648.02153824588,102127.64388034254,106584.32136552532
2025-06-17,96042.24123542992,103111.63689133235,103210.07523156496,101763.94753822574,105673.54210697708
2025-06-18,95520.11943071101,102156.15310436253,102192.5067841883,100820.952112081,105657.61280650421
2025-06-20,95242.2630427156,102199.67235204639,102225.12586426613,100863.90255464714,105409.47284903533
2025-06-23,97304.52190810794,103841.06059186051,103831.84563627026,102483.8375276739,106450.65896456486
2025-06-24,98848.68609000293,105423.36289268048,105401.67294514363,104045.4588265381,107626.63984417799
2025-06-25,98705.32442428704,104752.25974354289,104842.67357975057,103383.12712741524,107686.94906859308
2025-06-26,99497.49593925117,105235.37723198264,105332.8081695011,103859.93017536022,108529.4707846502
