date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,benchmark_value
2025-03-17,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2025-03-18,98729.42094489309,100000.0,100000.0,100000.0,100000.0,100000.0,98919.14862852331
2025-03-19,99948.98661532848,100000.0,100000.0,100000.0,100000.0,100000.0,99996.47225373119
2025-03-20,99748.71758876761,100000.0,100000.0,100000.0,100000.0,100000.0,99707.28416453495
2025-03-21,100231.13981885408,100000.0,100000.0,100000.0,100000.0,100000.0,99740.18802016565
2025-03-24,101976.68952029347,100000.0,100000.0,100000.0,100000.0,100000.0,101526.38177139466
2025-03-25,102365.41371990088,100000.0,100000.0,100000.0,100000.0,100000.0,101770.4386621828
2025-03-26,101630.4947786415,100000.0,100000.0,100000.0,100000.0,100000.0,100555.46760385674
2025-03-27,101769.17304280854,100000.0,100000.0,100000.0,100000.0,100000.0,100288.42592179248
2025-03-28,99863.60061759005,100000.0,100000.0,100000.0,100000.0,100000.0,98268.79118289905
2025-03-31,100371.37787281399,99904.0,99904.0,99904.0,99904.0,99904.0,98928.44707084913
2025-04-01,99338.20972159324,99013.26692696329,98810.29853250922,98399.0425713692,99336.75972595169,99017.05746622376,99207.85764106577
2025-04-02,99270.37377085123,99468.20806658475,99073.5145091013,98556.21409010045,99195.53768420687,99093.62263385109,99835.69848396193
2025-04-03,96706.12540936546,96418.07584635969,94549.96677806534,96821.77958814467,96873.1463222119,96110.29486934264,94915.70101871296
2025-04-04,91125.5473951603,90050.36047281555,88575.47492170663,90243.99356039413,91745.7940373011,90415.6204312345,89359.05967705444
2025-04-07,90454.47719851533,90089.0275615889,88139.14894763938,89734.39050838044,90960.84875629713,89661.13728257707,89199.89190288594
2025-04-08,89094.19874153507,88004.07686407321,86575.96879523319,87820.10236880854,89279.40454092232,88077.30486206069,87802.77916722106
2025-04-09,94034.4147581385,96503.94705066686,94601.78270072294,94357.16930344282,94509.7638177304,93415.09090599735,97023.76895265351
2025-04-10,91405.38130357704,92316.23574370627,90731.57082438437,90739.7655893317,91870.43760521109,90063.58439784822,92772.27940534393
2025-04-11,92945.7877107515,93681.76298850877,92636.49548155475,91694.07122836214,93319.41316591605,91688.79871388957,94427.58723713663
2025-04-14,93326.91950657513,94536.16930979666,93244.74526051129,93041.7386104478,94090.2036718282,92518.48823153973,95343.67979213297
2025-04-15,92937.27337358693,94204.21836994271,92890.838905095,93317.53443557378,93695.5722652546,92612.04222744824,95076.62722196295
2025-04-16,92200.36396094381,92070.66919418174,91301.36426214929,91327.58112297498,92326.08514276036,91095.99840120874,92963.26766861918
2025-04-17,90916.59527682356,92081.24660809968,92322.5158152872,93358.20815378017,92967.82401264961,93527.01976278157,93095.90657308411
2025-04-21,88961.3159274036,89922.61406166006,90612.39282953026,91866.69928451105,91188.73695049885,91416.77371813227,90879.97017530067
2025-04-22,90347.8567330143,91847.317082171,92069.613033134,93926.125715245,92950.15280218406,93197.61559575702,93244.4747762875
2025-04-23,90378.49525882953,93570.82075315432,93661.01618248527,94958.77308936957,93491.39762601232,93731.05769413826,94689.32641169189
2025-04-24,91017.48579408933,95658.14188113467,95376.15085190386,96752.92666480373,94364.89479528257,94866.16487164197,96682.44861304041
2025-04-25,91443.86813752733,96133.88121622252,96633.1188828228,97279.03725442308,95140.79570933958,96114.86568238464,97381.0077028993
2025-04-28,92031.26699550141,96928.87904094005,97546.86356247289,97932.82181791007,95687.13084843894,96532.70699249055,97418.13614356794
2025-04-29,91834.31540173515,96914.60570551334,97559.61527715313,98210.73770547759,96026.76401982173,96760.34860402741,98031.81156086005
2025-04-30,91538.9610176128,96577.57359715104,97761.66030976438,98041.6335780989,95961.85771689954,96801.77955678536,98070.72565087462
2025-05-01,90427.23373134749,97287.31692473989,98207.61784391965,98401.33619027093,96278.79740236426,96922.49657885944,98765.73521825316
2025-05-02,92250.87038336783,99257.88925878111,100085.41036582964,100466.9549857345,98236.33460142108,98562.45600933851,100231.82954801075
2025-05-05,91910.41163987962,98939.87830706296,99575.92599368593,100012.03243261774,97849.0549612008,98461.53318055994,99657.05733262749
2025-05-06,91070.97307723884,98561.78889528345,99233.62008918021,99463.98325537729,96969.83331688844,97813.70746268852,98824.09546516927
2025-05-07,91877.22623037735,99566.5784874282,99892.76739998088,100329.41137857088,97656.08683813311,98344.33074172967,99239.70535043694
2025-05-08,91778.76016948622,100200.26682957646,100607.13160448811,101345.09551193373,98090.19849031608,98772.70802548119,99931.18717154667
2025-05-09,91428.68011234708,100107.13509082174,100715.42628857846,101568.7318157721,98009.07902278914,98602.66965296981,99803.85077459071
2025-05-12,92896.52166236858,102361.89000067684,102599.12080930594,103625.37291586329,99924.84726541933,100120.67845277167,103102.1193262353
