date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value,benchmark_value
2025-03-19,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2025-03-20,99799.62689764504,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99710.83431111994
2025-03-21,100282.2967743442,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99743.71755773733
2025-03-24,102028.73183692298,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,101529.98560105787
2025-03-25,102417.65796809962,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,101774.04026651547
2025-03-26,101682.36728045001,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100559.04785797227
2025-03-27,101821.1127724648,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100291.99669686702
2025-03-28,99914.56697324998,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98272.27937954759
2025-03-31,100422.60429919741,99904.0,99904.0,99904.0,99904.0,99904.0,99904.0,99904.0,98931.95868296284
2025-04-01,99388.90303948188,99013.26208986879,98810.29455967658,98399.03862457699,99336.75809549818,99017.05320810186,99017.98869424986,98536.66458662959,99211.39005976479
2025-04-02,99321.03698277964,99468.20692376971,99073.5147342381,98556.21424644992,99195.5389527071,99093.62204433215,99401.85743795722,98851.02498495411,99839.23141181935
2025-04-03,96755.47740234018,96418.07486859338,94549.9666877325,96821.78036664898,96873.14802155452,96110.29413512054,96216.3795615582,96241.49068453927,94919.08108093985
2025-04-04,91172.05099845247,90050.35877641701,88575.4744722577,90243.99387233502,91745.79488652128,90415.62054667632,90127.47658327014,90379.99447464714,89362.23160955436
2025-04-07,90500.6392396765,90089.02571497028,88139.14749329998,89734.39066874674,90960.84880679747,89661.13600127194,90031.14733152412,89309.35025427054,89203.06362973554
2025-04-08,89139.66486223416,88004.07375873202,86575.96626767346,87820.1005768007,89279.40329700001,88077.3016386398,87974.42566722877,88334.2596597056,87805.89041298746
2025-04-09,94082.40315547952,96503.9437345037,94601.78157135026,94357.16819889589,94509.76528253705,93415.08917950309,96052.62689455671,93079.06334186418,97027.21295538942
2025-04-10,91452.02638131326,92316.23449937598,90731.57091821994,90739.76641217309,91870.43680703381,90063.58376338815,91789.16213060924,90488.95009061277,92775.56160665366
2025-04-11,92993.22167268598,93681.75962633034,92636.494286354,91694.06999626692,93319.4127515026,91688.79808376923,92747.99887377424,91368.9566243619,94430.93908454783
2025-04-14,93374.54297981261,94536.16386336477,93244.7420283033,93041.73535022655,94090.20121703365,92518.48272944867,93368.41405288554,92565.00752048078,95347.06415760962
2025-04-15,92984.69978946888,94204.21466998702,92890.8366072512,93317.53377579409,93695.5726971875,92612.04015787468,92679.80453859846,92098.5305442349,95080.01299650435
2025-04-16,92247.41390840824,92070.66504581961,91301.36147884076,91327.57906748207,92326.08163339036,91095.99582603377,90935.35639918123,91173.57537244311,92966.56753783315
2025-04-17,90962.99170950083,92081.24532107692,92322.51583875282,93358.20889130305,92967.82643443487,93527.0187659181,91241.07650149391,94384.52354034632,93099.21115051293
2025-04-21,89006.714781753,89922.61021579758,90612.39025676654,91866.69738533626,91188.73702336302,91416.77090664045,89228.9983821903,92489.78578409845,90883.20698326918
2025-04-22,90393.96372976147,91847.31574842482,92069.61217709562,93926.12642401899,92950.15471413075,93197.61496083031,91265.18049434316,94039.20988145027,93247.77373887305
2025-04-23,90424.6180590508,93570.81879994563,93661.01560129598,94958.773198047,93491.40189562258,93731.05687853259,92992.3144335777,94623.16014745405,94692.68754992374
2025-04-24,91063.93576825052,95658.13842770546,95376.1488020181,96752.92614202316,94364.89256987673,94866.16543155213,94938.82308713728,95532.71034548176,96685.8805001041
2025-04-25,91490.53682594621,96133.88006021392,96633.1203919804,97279.03868193936,95140.79992155469,96114.86767178406,95222.44811666856,96624.30177514197,97384.4534978628
2025-04-28,92078.23493216804,96928.8745899411,97546.8612792644,97932.81942527418,95687.13157829802,96532.7056979538,96296.16634824523,97480.84385792707,97421.59414495286
