date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value,benchmark_value
2025-03-19,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2025-03-20,99799.62689764504,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99710.83431111994
2025-03-21,100282.2967743442,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99743.71755773733
2025-03-24,102028.73183692298,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,101529.98560105787
2025-03-25,102417.65796809962,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,101774.04026651547
2025-03-26,101682.36728045001,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100559.04785797227
2025-03-27,101821.1127724648,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100291.99669686702
2025-03-28,99914.56697324998,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98272.27937954759
2025-03-31,100349.84130118218,99855.66896862749,99855.63594846886,99855.67539397022,99855.64135938606,99855.64486281149,99855.66034414651,99855.61691926006,98931.95868296284
2025-04-01,99316.88902824343,98965.3619749949,98762.459976698,98351.44198404964,99288.67402894935,98969.12736737596,98970.07774477052,98488.94370059359,99211.39005976479
2025-04-02,99249.07214510904,99420.08671807825,99025.55272498942,98508.54157843615,99147.523243439,99045.65914306234,99353.76074933867,98803.15185551913,99839.23141181935
2025-04-03,96685.37148685113,96371.43023973616,94504.19455187055,96774.94666237966,96826.2564681601,96063.77521237338,96169.82420165795,96194.88134142665,94919.08108093985
2025-04-04,91105.99065464699,90006.79468774059,88532.59461948132,90200.3419119487,91701.38523402732,90371.85793721606,90083.86740645059,90336.22382912802,89362.23160955436
2025-04-07,90435.06537929586,90045.44292020582,88096.4788687076,89690.9852087412,90916.81910831307,89617.73857442397,89987.58476467892,89266.09811717708,89203.06362973554
2025-04-08,89075.0771202341,87961.49961105282,86534.05438732904,87777.62107886396,89236.18750405613,88034.67081300789,87931.85826791878,88291.47975482472,87805.89041298746
2025-04-09,94014.23406385073,96457.25756445841,94555.98435163079,94311.52665321903,94464.01772714582,93369.87477915126,96006.15076819631,93033.98554881416,97027.21295538942
2025-04-10,91385.76317632559,92271.57423726654,90687.64728782084,90695.87464144213,91825.96682148172,90019.9915453732,91744.74892885078,90445.12667835393,92775.56160665366
2025-04-11,92925.84176702409,93636.43875766109,92591.64847253945,91649.71661894629,93274.2413875577,91644.41923597547,92703.12172824792,91324.70702869527,94430.93908454783
2025-04-14,93306.88678096248,94490.42965551004,93199.6017585597,92996.73009312843,94044.65675208785,92473.7023009888,93323.23671260981,92520.17868247072,95347.06415760962
2025-04-15,92917.32605849023,94158.64105076618,92845.8676649822,93272.39511212308,93650.21925260892,92567.21444612,92634.96038965578,92053.92761903319,95080.01299650435
2025-04-16,92180.57439113053,92026.12358400809,91257.16200983626,91283.40296564338,92281.39109246107,91051.90390403377,90891.35632077343,91129.42039908274,92966.56753783315
2025-04-17,90897.08284335052,92036.6987407955,92277.82202355513,93313.05055265472,92922.8252562318,93481.75018985252,91196.92849703175,94338.81351849479,93099.21115051293
2025-04-21,88942.22337111687,89879.10792864753,90568.52432235212,91822.26050634836,91144.59701533781,91372.52372436029,89185.82394399014,92444.9933756542,90883.20698326918
2025-04-22,90328.46716303368,91802.882337361,92025.04079388987,93880.69337774109,92905.16208994325,93152.50582148584,91221.02082689737,93993.66709352972,93247.77373887305
2025-04-23,90359.09928117925,93525.55160164552,93615.67381132761,94912.84064976193,93446.14728014408,93685.68954475033,92947.3190732644,94577.33455491238,94692.68754992374
2025-04-24,90997.95376127305,95611.86143690042,95329.9767070519,96706.1257432599,94319.21514028072,94820.24868703753,94892.88588707351,95486.44426166176,96685.8805001041
2025-04-25,91424.2457175256,96087.3729176255,96586.3397904604,97231.98379705724,95094.74691315534,96068.34653537188,95176.37368149591,96577.50703825227,97384.4534978628
