date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,benchmark_value
2025-03-17,100000.0,100000.0,100000.0,100000.0,100000.0
2025-03-18,98594.31182445482,100000.0,100000.0,100000.0,98919.14851083906
2025-03-19,99512.43358280139,100000.0,100000.0,100000.0,99996.4722533471
2025-03-20,99229.74928175501,100000.0,100000.0,100000.0,99707.30590887768
2025-03-21,100724.1179617659,100000.0,100000.0,100000.0,99740.18799187709
2025-03-24,102978.50584443622,100000.0,100000.0,100000.0,101526.39282569573
2025-03-25,104022.1009379368,100000.0,100000.0,100000.0,101770.44974305706
2025-03-26,103148.89356309736,100000.0,100000.0,100000.0,100555.48944055059
2025-03-27,103021.79586306382,100000.0,100000.0,100000.0,100288.4368413036
2025-03-28,100565.6017888469,100000.0,100000.0,100000.0,98268.80188251018
2025-03-31,101573.08575322162,99905.0,99905.0,99905.0,98928.44695417731
2025-04-01,102090.97007569538,101216.68886308592,101216.68886308592,101216.68886308592,99207.8793310304
2025-04-02,102498.7036925184,101695.3529798399,101695.3529798399,101695.3529798399,99835.69846607266
2025-04-03,98997.48945268651,94136.68926842377,94136.68926842377,94136.68926842377,94915.71135323604
2025-04-04,93479.655138786,89480.65854559538,89480.65854559538,89480.65854559538,89359.06940656445
2025-04-07,93296.54325619673,92024.30937974996,92024.30937974996,92024.30937974996,89199.90705911908
2025-04-08,92891.33158042736,91441.49658618735,91441.49658618735,91441.49658618735,87802.78328322811
2025-04-09,99375.59753468946,104867.93255025322,104867.93255025322,104867.93255025322,97023.77951670527
2025-04-10,96763.99954772381,99063.79562523395,99063.79562523395,99063.79562523395,92772.28950648896
2025-04-11,98828.46690604946,101662.98948849052,101662.98948849052,101662.98948849052,94427.6084066203
2025-04-14,99087.23543765867,100899.52316878563,100899.52316878563,100899.52316878563,95343.69017325484
2025-04-15,98677.91827554032,100436.4421354292,100436.4421354292,100436.4421354292,95076.63757400784
2025-04-16,97493.95305538963,96885.38462523711,96885.38462523711,96885.38462523711,92963.27779055922
2025-04-17,98739.0318653162,95384.01825130172,95384.01825130172,95384.01825130172,93095.916709466
2025-04-21,96676.14671463601,92445.57664514241,92445.57664514241,92445.57664514241,90879.98551446252
2025-04-22,98987.62368882801,94611.9294058541,94611.9294058541,94611.9294058541,93244.47404073873
2025-04-23,99717.4098706299,97924.65748599912,97924.65748599912,97924.65748599912,94689.33672156706
2025-04-24,101172.91135519404,101408.74562333089,101408.74562333089,101408.74562333089,96682.4482518219
2025-04-25,101376.25609455278,104020.78824504411,104020.78824504411,104020.78824504411,97381.0183058476
2025-04-28,101348.5435714153,103439.51050208815,103439.51050208815,103439.51050208815,97418.14675055884
2025-04-29,101928.20599303603,103480.29927321416,103480.29927321416,103480.29927321416,98031.82223466857
2025-04-30,101413.20024588572,103076.74682799497,103076.74682799497,103076.74682799497,98070.7254408132
2025-05-01,104191.4527598342,104638.43306400388,104419.23345373636,105068.80255935354,98765.74597197208
2025-05-02,106382.64002654412,106905.34029923393,106458.96861426753,107780.83738684558,100231.85134946657
2025-05-05,106242.15427814421,106561.45879624422,106294.43166583581,107682.63734500798,99657.07907150149
2025-05-06,105557.65912422113,105978.59954002114,105624.46876858709,106646.14404740483,98824.10622524255
2025-05-07,106082.33328899281,107283.36581697881,104326.00791224673,107583.59189195225,99239.71615576226
2025-05-08,107152.88046871823,108150.1046330389,105577.895500124,108436.46821389055,99931.18716405431
2025-05-09,107208.50741088678,108015.85716535352,105351.99970694949,108222.12313807842,99803.87252944775
2025-05-12,110360.7638148709,111972.62997180382,108784.45812175942,112823.58755220911,103102.13055210438
2025-05-13,111492.77251873417,114626.58998481621,110081.65259008532,114683.6467350714,103783.00743233073
2025-05-14,111748.88554473003,115793.11153344068,111070.40972925705,114854.90191446715,103915.6463512375
2025-05-15,112559.74758746165,116467.64362229485,111591.91906059002,114986.3449393384,104423.20634497903
2025-05-16,112577.27089173369,116533.12352569807,111903.07591889195,114785.39589718437,105084.6261780796
2025-05-19,113038.25425377679,116764.79803688217,112148.14958609355,114983.20111337461,105199.57192318708
2025-05-20,113264.98755030388,116797.8881944483,112004.30295783388,115113.50084373979,104845.8717688046
2025-05-21,111941.08529532785,115239.16202646756,111763.24109294073,114033.48883884019,103079.12398211179
