date,base_value,soft_price_value,with_llm_short_value,with_llm_swing_value,with_llm_long_value,benchmark_value
2025-03-13,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2025-03-14,102373.22217372734,102373.22217372734,102373.22217372734,102373.22217372734,102373.22217372734,102065.59014997643
2025-03-17,102843.99094796495,102843.99094796495,102843.99094796495,102843.99094796495,102843.99094796495,102852.63521793747
2025-03-18,101322.23861339431,101322.23861339431,101322.23861339431,101322.23861339431,101322.23861339431,101740.96205620788
2025-03-19,102315.42309967456,102315.42309967456,102315.42309967456,102315.42309967456,102315.42309967456,102849.00683714608
2025-03-20,102009.471636477,102009.471636477,102009.471636477,102009.471636477,102009.471636477,102551.60279801914
2025-03-21,103626.55910284088,103626.55910284088,103626.55910284088,103626.55910284088,103626.55910284088,102585.42289058093
2025-03-24,106067.98855451329,106067.98855451329,106067.98855451329,106067.98855451329,106067.98855451329,104422.58183258542
2025-03-25,107199.45890280939,107199.45890280939,107199.45890280939,107199.45890280939,107199.45890280939,104673.58963214827
2025-03-26,106252.21929838938,106252.21929838938,106252.21929838938,106252.21929838938,106252.21929838938,103423.98200681487
2025-03-27,106114.40921647662,106114.40921647662,106114.40921647662,106114.40921647662,106114.40921647662,103149.32253987103
2025-03-28,103451.33114379122,103451.33114379122,103451.33114379122,103451.33114379122,103451.33114379122,101072.06333809019
2025-03-31,104542.27446307926,104542.27446307926,104542.27446307926,104542.27446307926,104542.27446307926,101750.53694996296
2025-04-01,104542.27446307926,105103.3509151065,105103.3509151065,105103.3509151065,105103.3509151065,102037.92934579514
2025-04-02,104542.27446307926,105545.2049263034,105545.2049263034,105545.2049263034,105545.2049263034,102683.65794089618
2025-04-03,104542.27446307926,101750.17490850147,101750.17490850147,101750.17490850147,101750.17490850147,97623.33219069205
2025-04-04,104542.27446307926,95780.42852523371,95780.42852523371,95780.42852523371,95780.42852523371,91908.1676979369
2025-04-07,104542.27446307926,95582.93148221714,95582.93148221714,95582.93148221714,95582.93148221714,91744.46501149047
2025-04-08,104542.27446307926,95145.94016231537,95145.94016231537,95145.94016231537,95145.94016231537,90307.48623427049
2025-04-09,104542.27446307926,102137.14839905848,102137.14839905848,102137.14839905848,102137.14839905848,99791.52488638076
2025-04-10,104542.27446307926,99311.70641957263,99311.70641957263,99311.70641957263,99311.70641957263,95418.7437000279
