model_name,window_label,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,rebalance_count,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,baseline_ending_capital,ending_capital_gap_vs_baseline,beat_baseline
configured_baseline,2022-03-09_to_2023-03-09,-0.023944336655026932,-0.023944336655026932,0.20092834280090302,0.14378676229040743,-0.020036269620161865,-0.027998783661044867,-0.24355151455629687,-0.09831323241265331,0.039999999999999994,-0.044054432016520706,-0.044054432016520706,0.021036862385287236,0.020110095361493774,0.11542225221988318,0.11544313309858542,2022-03-09,2023-03-09,100000.0,96403.43021803942,-3596.569781960585,12,,,,96403.43021803942,0.0,False
ridge_walkforward,2022-03-09_to_2023-03-09,-0.05668015278412197,-0.05668015278412197,0.20212078782807913,0.14710974620001355,-0.18739971237051078,-0.25747700938579676,-0.1919714541746681,-0.29525302617414506,0.04285714285714286,-0.044054432016520706,-0.044054432016520706,-0.013207572889567976,-0.012625720767601267,0.11167820095656456,-0.18380325301637904,2022-03-09,2023-03-09,100000.0,94331.9847215878,-5668.015278412204,12,10150.0,1200.0,,96403.43021803942,-2071.445496451619,False
mlp_walkforward,2022-03-09_to_2023-03-09,-0.14594288287917534,-0.14594288287917534,0.22181170692968374,0.15809855196272468,-0.6002130549337923,-0.8420967844647553,-0.27871399166609134,-0.5236295530294718,0.04666666666666667,-0.044054432016520706,-0.044054432016520706,-0.10658394606879484,-0.10188845086265463,0.103214894235106,-1.12177338569334,2022-03-09,2023-03-09,100000.0,85405.71171208247,-14594.28828791753,12,10150.0,1200.0,,96403.43021803942,-10997.718505956946,False
tree_walkforward,2022-03-09_to_2023-03-09,-0.19483609727939633,-0.19483609727939633,0.23334228660954018,0.17616296803458587,-0.8111440309541161,-1.0744267371525729,-0.2643217801752341,-0.7371170743108202,0.045714285714285714,-0.044054432016520706,-0.044054432016520706,-0.15773038791418037,-0.15078166526287562,0.10369787725653358,-1.6579282683959786,2022-03-09,2023-03-09,100000.0,80516.39027206037,-19483.609727939634,12,10150.0,1200.0,0.009985273904326892,96403.43021803942,-15887.03994597905,False
tree_walkforward,2023-03-10_to_2024-03-11,0.5174462296230617,0.5174462296230617,0.16051429324109853,0.09972191448093008,2.680359421063443,4.3143575847252,-0.08614761726740627,6.006506575995993,0.036190476190476197,0.3255970435995137,0.3255970435995137,0.14472662484415522,0.19184918602354806,0.08961877571099895,1.5733295908016103,2023-03-10,2024-03-11,100000.0,152620.51946589447,52620.51946589447,12,15166.666666666666,1200.0,0.006113371675339139,141237.3976138679,11383.121852026554,True
ridge_walkforward,2023-03-10_to_2024-03-11,0.46823990874618504,0.46823990874618504,0.1518310727067439,0.09358794696900721,2.6072406002433315,4.229819650500654,-0.10392859730585557,4.505400062007797,0.046666666666666676,0.3255970435995137,0.3255970435995137,0.10760650518602555,0.14264286514667135,0.08376153345159179,1.2729472152578216,2023-03-10,2024-03-11,100000.0,148207.3601747016,48207.36017470161,12,15166.666666666666,1200.0,,141237.3976138679,6969.962560833694,True
configured_baseline,2023-03-10_to_2024-03-11,0.4040203109603704,0.4040203109603704,0.16059796299363985,0.09713356737564022,2.194368233255482,3.6281079532055016,-0.12798961741476267,3.156664728913938,0.04476190476190477,0.3255970435995137,0.3255970435995137,0.059160713837975054,0.0784232673608567,0.0924903715841463,0.6830434438758407,2023-03-10,2024-03-11,100000.0,141237.3976138679,41237.39761386791,12,,,,141237.3976138679,0.0,False
mlp_walkforward,2023-03-10_to_2024-03-11,0.34436002693358025,0.34436002693358025,0.14366290687158362,0.08896821335610604,2.132647637622463,3.443728354163146,-0.12226272633949031,2.816557729764558,0.049523809523809526,0.3255970435995137,0.3255970435995137,0.014154364197371594,0.018762983334066563,0.07849184939183755,0.21844602592394174,2023-03-10,2024-03-11,100000.0,134985.6941574892,34985.6941574892,12,15166.666666666666,1200.0,,141237.3976138679,-6251.7034563787165,False
mlp_walkforward,2024-03-12_to_2025-03-13,0.1712197173734442,0.1712197173734442,0.14432335288623202,0.09637837514602501,1.1674978271784826,1.748288458385975,-0.15752682386089278,1.0869242023481869,0.045714285714285714,0.0923431900995284,0.0923431900995284,0.07220855861858677,0.07887652727391581,0.08427277584175032,0.844343260340023,2024-03-12,2025-03-13,100000.0,115956.11790986948,15956.117909869485,12,20188.333333333332,1282.5,,114582.73795557536,1373.379954294127,True
configured_baseline,2024-03-12_to_2025-03-13,0.16964796718510922,0.16964796718510922,0.15720148031664888,0.10947420112787569,1.075743521913511,1.5447335750668367,-0.1508717535995755,1.124451483710908,0.04666666666666666,0.0923431900995284,0.0923431900995284,0.07076967915050325,0.07730477708558081,0.09437783351630664,0.7604160936772051,2024-03-12,2025-03-13,100000.0,114582.73795557536,14582.737955575358,12,,,,114582.73795557536,0.0,False
