model_name,window_label,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,rebalance_count,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,baseline_ending_capital,ending_capital_gap_vs_baseline,beat_baseline
tree_walkforward,2022-03-10_to_2023-03-10,-0.053715977417936656,-0.053715977417936656,0.21835735314711235,0.15839495270467135,-0.14340415743967708,-0.19769160389348805,-0.12950990811049312,-0.4147634586545158,0.045714285714285714,-0.0824483663588168,-0.0824483663588168,0.03131419299735683,0.02873238894088015,0.10069430815248248,0.2708924620664212,2022-03-10,2023-03-10,100000.0,94628.40225820633,-5371.5977417936665,12,19092.833333333332,1646.25,0.01174083598608857,90892.37819355274,3736.0240646535967,True
configured_baseline,2022-03-10_to_2023-03-10,-0.0853250374786737,-0.0853250374786737,0.22873962991467883,0.16916588079794218,-0.27515774330280235,-0.3720577700087075,-0.2569325433057683,-0.33209120332075154,0.04857142857142858,-0.0824483663588168,-0.0824483663588168,-0.0031351599347506642,-0.0028766711198568995,0.12372315054482481,-0.03514943688202551,2022-03-10,2023-03-10,100000.0,90892.37819355274,-9107.621806447263,12,,,,90892.37819355274,0.0,False
ridge_walkforward,2022-03-10_to_2023-03-10,-0.10261443422493155,-0.10261443422493155,0.2596299579695981,0.19015551341832837,-0.2866977298865871,-0.39144444577150633,-0.20896295428108713,-0.4910651965941266,0.054285714285714284,-0.0824483663588168,-0.0824483663588168,-0.021978128670632202,-0.020166067866114745,0.10951802467075586,-0.14467607782140932,2022-03-10,2023-03-10,100000.0,89738.55657750684,-10261.443422493161,12,19092.833333333332,1646.25,,90892.37819355274,-1153.8216160458978,False
mlp_walkforward,2022-03-10_to_2023-03-10,-0.16278086043034123,-0.16278086043034123,0.26038594937808623,0.19031795945555993,-0.5516613698467498,-0.7547625559547007,-0.26166650288297344,-0.6220928496267732,0.04857142857142857,-0.0824483663588168,-0.0824483663588168,-0.08755092479399273,-0.08033249407152443,0.10694566670472318,-0.7953028004143035,2022-03-10,2023-03-10,100000.0,83721.91395696587,-16278.086043034127,12,19092.833333333332,1646.25,,90892.37819355274,-7170.464236586864,False
tree_walkforward,2023-03-13_to_2024-03-12,0.6602391538458618,0.6602391538458618,0.18374585063565385,0.10680930408303033,2.853120693068631,4.908271739197424,-0.12201083855030526,5.411315598602695,0.04476190476190477,0.3594734313506083,0.3594734313506083,0.2212369256797091,0.3007657224952536,0.11941710794796906,1.757086160294439,2023-03-13,2024-03-12,100000.0,166658.79382060797,66658.79382060797,12,26008.0,1628.3333333333333,0.00796447544037809,153956.87049679997,12701.923323808005,True
mlp_walkforward,2023-03-13_to_2024-03-12,0.542817942227994,0.542817942227994,0.16168243116704578,0.09738857807940916,2.7647708202943733,4.590013291706677,-0.0940857756455804,5.7693943479063226,0.05333333333333334,0.3594734313506083,0.3594734313506083,0.13486435751468617,0.18334451087738568,0.10276276974000725,1.2902720230687106,2023-03-13,2024-03-12,100000.0,154420.6027892495,54420.602789249504,12,26008.0,1628.3333333333333,,153956.87049679997,463.73229244953836,True
configured_baseline,2023-03-13_to_2024-03-12,0.5433925869138676,0.5433925869138676,0.19761625537205604,0.11798819218328473,2.2962651221372585,3.845972265371384,-0.11364746159506445,4.781387804771404,0.049523809523809526,0.3594734313506083,0.3594734313506083,0.13528705403278063,0.18391915556325933,0.13186375346362839,1.0568209237297472,2023-03-13,2024-03-12,100000.0,153956.87049679997,53956.870496799966,12,,,,153956.87049679997,0.0,False
ridge_walkforward,2023-03-13_to_2024-03-12,0.5066209715753456,0.5066209715753456,0.17560649028242048,0.11078456944935157,2.423602967295879,3.84169395648069,-0.11370010844466805,4.455765069229391,0.05047619047619048,0.3594734313506083,0.3594734313506083,0.10823862889218017,0.1471475402247373,0.11211634526220543,0.9916258831712821,2023-03-13,2024-03-12,100000.0,151346.5537974025,51346.55379740251,12,26008.0,1628.3333333333333,,153956.87049679997,-2610.316699397459,False
tree_walkforward,2024-03-13_to_2025-03-14,0.0022722749267873876,0.0022722749267873876,0.19400069547293256,0.14472393684117313,0.10913136661534245,0.14628928346886166,-0.16796872781710936,0.013527964141405687,0.04476190476190476,0.10304052132351305,0.10304052132351305,-0.09135498147957077,-0.10076824639672566,0.10334336763191121,-0.8328432900986847,2024-03-13,2025-03-14,100000.0,100982.29656140957,982.2965614095738,12,33121.583333333336,1683.5,0.007125822698131165,99285.4899958324,1696.8065655771788,True
configured_baseline,2024-03-13_to_2025-03-14,-0.01643011294068175,-0.01643011294068175,0.17957796605041768,0.13223977513469795,-0.0022553139932631073,-0.003062654177252653,-0.1587072134369767,-0.10352467657184479,0.05428571428571429,0.10304052132351305,0.10304052132351305,-0.10831028593658987,-0.1194706342641948,0.09546969831322029,-1.1275346830601198,2024-03-13,2025-03-14,100000.0,99285.4899958324,-714.5100041676051,12,,,,99285.4899958324,0.0,False
mlp_walkforward,2024-03-13_to_2025-03-14,-0.055828636589933534,-0.055828636589933534,0.17228953513064238,0.12980937551263863,-0.24693526587280343,-0.3277449105395675,-0.15703524828047966,-0.3555165938937376,0.05523809523809524,0.10304052132351305,0.10304052132351305,-0.14402839681974977,-0.15886915791344658,0.08870480316719091,-1.6885754564158066,2024-03-13,2025-03-14,100000.0,94802.04097343681,-5197.959026563185,12,33121.583333333336,1683.5,,99285.4899958324,-4483.44902239558,False
