model_name,window_label,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,rebalance_count,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,baseline_ending_capital,ending_capital_gap_vs_baseline,beat_baseline
tree_walkforward,2022-03-14_to_2023-03-14,-0.03689879321809608,-0.03689879321809608,0.2194697888046331,0.158440852880766,-0.061325000719898014,-0.08494643087138953,-0.12950999918972617,-0.28491076711413654,0.045714285714285714,-0.05233616091249704,-0.05233616091249704,0.01628991954495751,0.01543736769440096,0.0999580050023151,0.12801703493097438,2022-03-14,2023-03-14,100000.0,96310.12067819039,-3689.8793218096107,12,19092.833333333332,1646.25,0.011740811926600621,96158.45857884386,151.66209934653307,True
configured_baseline,2022-03-14_to_2023-03-14,-0.047987258997584714,-0.047987258997584714,0.23132644807251307,0.16894755146572504,-0.09664574560048549,-0.1323293345012792,-0.25693260015616515,-0.18676983367785083,0.04857142857142857,-0.05233616091249704,-0.05233616091249704,0.004589076564428085,0.004348901914912329,0.12474281600377114,0.031253064891961745,2022-03-14,2023-03-14,100000.0,96158.45857884386,-3841.5414211561438,12,,,,96158.45857884386,0.0,False
ridge_walkforward,2022-03-14_to_2023-03-14,-0.08869117628444911,-0.08869117628444911,0.26046431086681565,0.19020938458846148,-0.2258616419227574,-0.3092849337688629,-0.20896306702655532,-0.42443469818127294,0.05428571428571429,-0.05233616091249704,-0.05233616091249704,-0.03836277577812608,-0.03635501537195207,0.10877258818089217,-0.29946501306042006,2022-03-14,2023-03-14,100000.0,91130.88237155508,-8869.117628444918,12,19092.833333333332,1646.25,,96158.45857884386,-5027.576207288774,False
lstm_walkforward,2022-03-14_to_2023-03-14,-0.09219782647704411,-0.09219782647704411,0.25382436325713953,0.18667019359394013,-0.25361883308403216,-0.3448576206954928,-0.22458856666978433,-0.41051878928727414,0.05047619047619048,-0.05233616091249704,-0.05233616091249704,-0.04206308600202524,-0.039861665564547066,0.11929751175952544,-0.3195316137017218,2022-03-14,2023-03-14,100000.0,90780.21735229559,-9219.782647704415,12,19092.833333333332,1646.25,0.015229543050130209,96158.45857884386,-5378.241226548271,False
tcn_walkforward,2022-03-14_to_2023-03-14,-0.11699140025394916,-0.11699140025394916,0.24079285936124462,0.17738531598914103,-0.39582579321453515,-0.53731631632291,-0.24145202331315452,-0.48453269783627184,0.04666666666666667,-0.05233616091249704,-0.05233616091249704,-0.06822592218323753,-0.06465523934145212,0.10580312403632394,-0.6526906725258929,2022-03-14,2023-03-14,100000.0,88300.85997460509,-11699.14002539491,12,19092.833333333332,1646.25,0.01289276615716517,96158.45857884386,-7857.598604238767,False
hybrid_sequence_walkforward,2022-03-14_to_2023-03-14,-0.13899039223792553,-0.13899039223792553,0.2533129093108814,0.18080223086917319,-0.4640445662440206,-0.6501494951698681,-0.28960673370185397,-0.4799280405579733,0.049523809523809526,-0.05233616091249704,-0.05233616091249704,-0.09143984158862395,-0.08665423132542849,0.11833659825794286,-0.7714702644378182,2022-03-14,2023-03-14,100000.0,86100.96077620744,-13899.039223792555,12,19092.833333333332,1646.25,0.01555157219991088,96158.45857884386,-10057.497802636412,False
mlp_walkforward,2022-03-14_to_2023-03-14,-0.14644718582657956,-0.14644718582657956,0.2612272959193822,0.19032016242492875,-0.47513045996806874,-0.6521486934698707,-0.2616666055179634,-0.5596709046486483,0.04857142857142858,-0.05233616091249704,-0.05233616091249704,-0.09930844781911397,-0.09411102491408252,0.10612013559716782,-0.9221787396071769,2022-03-14,2023-03-14,100000.0,85355.28141734205,-14644.718582657952,12,19092.833333333332,1646.25,,96158.45857884386,-10803.177161501808,False
transformer_walkforward,2022-03-14_to_2023-03-14,-0.15861202979767142,-0.15861202979767142,0.24029972212518044,0.1791965978442944,-0.5979086351870635,-0.8017857516276048,-0.2130022708654863,-0.7446494779289794,0.04666666666666667,-0.05233616091249704,-0.05233616091249704,-0.11214511359587853,-0.10627586888517437,0.11190313574136071,-1.0493179278607545,2022-03-14,2023-03-14,100000.0,84138.79702023286,-15861.202979767142,12,7145.333333333333,1646.25,0.013691918418322152,96158.45857884386,-12019.661558610998,False
transformer_walkforward,2023-03-15_to_2024-03-14,0.7209179964890009,0.7209179964890009,0.20612242933277786,0.12098327326531542,2.7390088347988115,4.666522402271029,-0.11963883717534507,6.0257857190003365,0.04476190476190477,0.33453278194356306,0.33453278194356306,0.2895284550318209,0.38638521454543784,0.14547810164677455,1.8476826048920123,2023-03-15,2024-03-14,100000.0,171848.11341224224,71848.11341224224,12,6899.5,1628.3333333333333,0.008431859594545557,146571.35681457646,25276.75659766578,True
tree_walkforward,2023-03-15_to_2024-03-14,0.6146908415773691,0.6146908415773691,0.18290796525637176,0.1070367783121971,2.7129712438265106,4.6360144413166555,-0.12201083126669388,5.038002242880919,0.04476190476190477,0.33453278194356306,0.33453278194356306,0.20992969481483592,0.280158059633806,0.11949523228203437,1.6774748999778901,2023-03-15,2024-03-14,100000.0,162365.9048097445,62365.904809744505,12,26008.0,1628.3333333333333,0.007964475282189241,146571.35681457646,15794.547995168046,True
tcn_walkforward,2023-03-15_to_2024-03-14,0.508673419994131,0.508673419994131,0.16241253791164745,0.09629456840551555,2.614860304297758,4.410280925887576,-0.11074954211048049,4.593006980441448,0.05523809523809524,0.33453278194356306,0.33453278194356306,0.130488093216381,0.1741406380505679,0.10882472623558853,1.1845864958955357,2023-03-15,2024-03-14,100000.0,151415.3249996372,51415.3249996372,12,26008.0,1628.3333333333333,0.00798364239744842,146571.35681457646,4843.968185060745,True
mlp_walkforward,2023-03-15_to_2024-03-14,0.49618378774147653,0.49618378774147653,0.16092946342340297,0.09774023579270379,2.585919564839646,4.257720933969643,-0.09408581482828915,5.273736414432232,0.05333333333333334,0.33453278194356306,0.33453278194356306,0.12112928808124979,0.16165100579791347,0.10291395769422883,1.169684399818389,2023-03-15,2024-03-14,100000.0,150992.2453706764,50992.24537067639,12,26008.0,1628.3333333333333,,146571.35681457646,4420.888556099933,True
hybrid_sequence_walkforward,2023-03-15_to_2024-03-14,0.4967315453696497,0.4967315453696497,0.1748933261910828,0.10625538539147185,2.3948282515637427,3.941818826681086,-0.09541507568116481,5.206006931540965,0.054285714285714284,0.33453278194356306,0.33453278194356306,0.12153973706802956,0.16219876342608663,0.11600842160875698,1.0608340297930048,2023-03-15,2024-03-14,100000.0,150535.5345536038,50535.53455360379,12,26008.0,1628.3333333333333,0.008650943442868689,146571.35681457646,3964.1777390273346,True
ridge_walkforward,2023-03-15_to_2024-03-14,0.46698948127968265,0.46698948127968265,0.17482275775720493,0.11097732548013045,2.2809668533469916,3.5932107205655313,-0.11370016221017998,4.107201539575916,0.05047619047619048,0.33453278194356306,0.33453278194356306,0.09925323763363436,0.1324566993361196,0.11218055277262302,0.9180835351777178,2023-03-15,2024-03-14,100000.0,148360.11551269976,48360.11551269976,12,26008.0,1628.3333333333333,,146571.35681457646,1788.7586981233035,True
configured_baseline,2023-03-15_to_2024-03-14,0.46059214297045736,0.46059214297045736,0.19519766795759685,0.11863001378249276,2.0393916785956137,3.355681138534449,-0.11364753994896915,4.052812257768851,0.049523809523809526,0.33453278194356306,0.33453278194356306,0.09445954624157404,0.1260593610268943,0.13089271790595242,0.7816378494049534,2023-03-15,2024-03-14,100000.0,146571.35681457646,46571.35681457646,12,,,,146571.35681457646,0.0,False
