model_name,window_label,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,gross_total_return,gross_cagr,cost_drag_total_return,avg_daily_linear_cost,avg_daily_spread_cost,avg_daily_market_impact_cost,avg_daily_total_cost,avg_daily_max_participation_rate,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,rebalance_count,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,baseline_ending_capital,ending_capital_gap_vs_baseline,beat_baseline
tree_walkforward,2022-03-14_to_2023-03-14,-0.0425036707499471,-0.0425036707499471,0.21959109300019417,0.15869259657724163,-0.0877415404589649,-0.12141247409438388,-0.1301462058824332,-0.32658401727317765,0.045714285714285714,-0.05233616091249704,-0.05233616091249704,0.010375504221008969,0.009832490162549945,0.09999811505372062,0.0698818332704862,-0.025693853680703538,-0.025693853680703538,0.01680981706924356,4.571428571428571e-05,2.2857142857142855e-05,1.915706923209106e-07,6.876299926374948e-05,6.198371731310852e-07,2022-03-14,2023-03-14,100000.0,95749.6329250053,-4250.367074994705,12,19092.833333333332,1646.25,0.011740811926600621,95563.01170438106,186.6212206242344,True
configured_baseline,2022-03-14_to_2023-03-14,-0.053882455524823514,-0.053882455524823514,0.23141965443187046,0.1692461170512234,-0.12334579783317882,-0.16865758817697651,-0.2594005003422397,-0.2077191657446064,0.04857142857142857,-0.05233616091249704,-0.05233616091249704,-0.001631691058102791,-0.001546294612326471,0.12500713361352553,-0.018313591149153582,-0.03622863380696062,-0.03622863380696062,0.017653821717862894,4.8571428571428576e-05,2.4285714285714288e-05,2.6954309165726057e-07,7.312668594880013e-05,1.0697313450830867e-06,2022-03-14,2023-03-14,100000.0,95563.01170438106,-4436.988295618939,12,,,,95563.01170438106,0.0,False
ridge_walkforward,2022-03-14_to_2023-03-14,-0.09500411241205686,-0.09500411241205686,0.26065892886428516,0.1905771584442306,-0.2521533464322148,-0.3448787972657269,-0.21070314324901251,-0.4508908170381654,0.05428571428571429,-0.05233616091249704,-0.05233616091249704,-0.04502435329878618,-0.04266795149955982,0.1089657549626398,-0.36223039825353537,-0.0760506222305749,-0.0760506222305749,0.018953490181481958,5.428571428571428e-05,2.714285714285714e-05,2.2668363455407066e-07,8.16552550631255e-05,6.28758225809145e-07,2022-03-14,2023-03-14,100000.0,90499.58875879431,-9500.411241205686,12,19092.833333333332,1646.25,,95563.01170438106,-5063.422945586746,False
lstm_walkforward,2022-03-14_to_2023-03-14,-0.09803345565837507,-0.09803345565837507,0.25396853458162577,0.18699252814742162,-0.27871062301620303,-0.3785377373151101,-0.22669811956000896,-0.4324405330253512,0.05047619047619048,-0.05233616091249704,-0.05233616091249704,-0.04822099658237411,-0.045697294745878025,0.11935752737609852,-0.3730675149209062,-0.08051456591682504,-0.08051456591682504,0.017518889741550026,5.047619047619048e-05,2.523809523809524e-05,1.948003261262726e-07,7.590908604041199e-05,5.881687317326498e-07,2022-03-14,2023-03-14,100000.0,90196.6544341625,-9803.345565837502,12,19092.833333333332,1646.25,0.015229543050130209,95563.01170438106,-5366.357270218563,False
tcn_walkforward,2022-03-14_to_2023-03-14,-0.12225044990196154,-0.12225044990196154,0.24096835880345882,0.17772335138256914,-0.4201359958159406,-0.5696464791961686,-0.24405402669927423,-0.5009155208596486,0.04666666666666667,-0.05233616091249704,-0.05233616091249704,-0.0737754107582963,-0.0699142889894645,0.10579942812038529,-0.7087388877589247,-0.10647262086147402,-0.10647262086147402,0.015777829040487523,4.666666666666667e-05,2.3333333333333336e-05,1.8832074985483198e-07,7.018832074985484e-05,6.094728347592302e-07,2022-03-14,2023-03-14,100000.0,87774.95500980385,-12225.044990196155,12,19092.833333333332,1646.25,0.01289276615716517,95563.01170438106,-7788.056694577215,False
hybrid_sequence_walkforward,2022-03-14_to_2023-03-14,-0.1444223507112451,-0.1444223507112451,0.25345412129594463,0.18115931353396603,-0.4885948961249589,-0.683577275996999,-0.2920470472040321,-0.494517414553237,0.049523809523809526,-0.05233616091249704,-0.05233616091249704,-0.09717178813894278,-0.09208618979874805,0.11847775666203327,-0.8236236103873937,-0.1281160412895027,-0.1281160412895027,0.016306309421742382,4.9523809523809525e-05,2.4761904761904762e-05,1.9012278514248918e-07,7.447583707085678e-05,5.875348951335927e-07,2022-03-14,2023-03-14,100000.0,85557.76492887549,-14442.235071124509,12,19092.833333333332,1646.25,0.01555157219991088,95563.01170438106,-10005.24677550557,False
mlp_walkforward,2022-03-14_to_2023-03-14,-0.15173675204076198,-0.15173675204076198,0.261387358601128,0.19069155692220313,-0.4984395780438737,-0.6832279668276131,-0.2640258925230211,-0.5747040587223151,0.04857142857142858,-0.05233616091249704,-0.05233616091249704,-0.10489013828361005,-0.09940059112826494,0.10620759416976176,-0.9795014487044602,-0.13586293835515895,-0.13586293835515895,0.015873813685603033,4.8571428571428576e-05,2.4285714285714288e-05,1.9348992364313907e-07,7.305063278078601e-05,5.829653916907555e-07,2022-03-14,2023-03-14,100000.0,84826.3247959238,-15173.675204076193,12,19092.833333333332,1646.25,,95563.01170438106,-10736.686908457254,False
transformer_walkforward,2022-03-14_to_2023-03-14,-0.16362269836879062,-0.16362269836879062,0.2404715266519013,0.17951407988491777,-0.6221270547099369,-0.8333822211241421,-0.21551168206928495,-0.7592289048915106,0.04666666666666667,-0.05233616091249704,-0.05233616091249704,-0.11743250387547799,-0.11128653745629358,0.11197537297842557,-1.1015683802800393,-0.1485886311154807,-0.1485886311154807,0.015034067253309913,4.6666666666666665e-05,2.3333333333333332e-05,1.8477668988966602e-07,7.018477668988965e-05,5.594350637127035e-07,2022-03-14,2023-03-14,100000.0,83637.73016312094,-16362.269836879059,12,7145.333333333333,1646.25,0.013691918418322152,95563.01170438106,-11925.28154126012,False
transformer_walkforward,2023-03-15_to_2024-03-14,0.7112024348651049,0.7112024348651049,0.20606697821995512,0.12106576409339659,2.7121571678504863,4.616383799514012,-0.12027850623445502,5.912963646877863,0.04476190476190477,0.33453278194356306,0.33453278194356306,0.2822483329131671,0.37666965292154186,0.14541264691000125,1.8094178219049386,0.7403432062902358,0.7403432062902358,0.02914077142513083,4.476190476190476e-05,2.238095238095238e-05,1.7905934972642378e-07,6.732191649258357e-05,7.119243174124243e-07,2023-03-15,2024-03-14,100000.0,170877.93299736295,70877.93299736295,12,6899.5,1628.3333333333333,0.008431859594545557,145651.7394613516,25226.193536011357,True
tree_walkforward,2023-03-15_to_2024-03-14,0.6055753794141467,0.6055753794141467,0.18283123149408745,0.10713740113415683,2.683010649960036,4.578589139283828,-0.12307072886189907,4.92054759904509,0.04476190476190477,0.33453278194356306,0.33453278194356306,0.20309924277457436,0.2710425974705837,0.11940004610858511,1.6311915313634588,0.6329106107553168,0.6329106107553168,0.027335231341170108,4.476190476190476e-05,2.238095238095238e-05,1.821776325786808e-07,6.732503477543582e-05,7.323921300148803e-07,2023-03-15,2024-03-14,100000.0,161449.29574516052,61449.29574516052,12,26008.0,1628.3333333333333,0.007964475282189241,145651.7394613516,15797.556283808924,True
