date,supervised_ml_value,configured_baseline_value,benchmark_value
2025-03-13,100000.0,100000.0,100000.0
2025-03-14,100000.0,102373.21687265692,102065.56752124731
2025-03-17,100000.0,102843.9900696286,102852.62369977437
2025-03-18,100000.0,101322.23792860415,101740.96186124266
2025-03-19,100000.0,102315.42678845659,102848.99531938929
2025-03-20,100000.0,102009.47609057112,102551.59131356774
2025-03-21,100000.0,103626.56188924433,102585.422601047
2025-03-24,100000.0,106067.9871028011,104422.57013860856
2025-03-25,100000.0,107199.45902804685,104673.58910876671
2025-03-26,100000.0,106252.22119021147,103423.95922596341
2025-03-27,100000.0,106114.41287828339,103149.29978977787
2025-03-28,100000.0,103451.33136668119,101072.05201932802
2025-03-31,99900.0,104542.2730299818,101750.52555522058
2025-04-01,101138.91441791183,105103.35160618894,102037.90672016359
2025-04-02,102152.46370513104,105545.20900800149,102683.64644165628
2025-04-03,92894.87638677961,101750.17553376619,97623.32125814313
2025-04-04,87882.80365256922,95780.42544582092,91908.15740541238
2025-04-07,90886.32787177802,95582.93201839855,91744.4491379461
2025-04-08,90001.46170436454,95145.94953664298,90307.48172035402
2025-04-09,104428.3501481907,102137.15230040341,99791.51371102234
2025-04-10,97963.46630012573,99311.71250634271,95418.75541177414
2025-04-11,100470.02279918465,101542.05172569588,97121.28331782686
2025-04-14,98993.68825905559,101821.91700437912,98063.49755263503
2025-04-15,98601.03676124489,101379.16765848741,97788.82691774462
2025-04-16,94679.36533856006,100098.76719751918,95615.19189428781
2025-04-17,93236.41676170047,101444.39297974332,95751.60331857941
2025-04-21,90036.77138930105,99213.43830559817,93472.4540976285
2025-04-22,92466.82254245029,101710.43238230182,95904.40964683314
2025-04-23,96273.14074287949,102499.7603831087,97390.47778602497
2025-04-24,100061.48874640612,104074.6187368351,99440.45671006237
2025-04-25,102682.13046999759,104294.80068828496,100158.93201982975
2025-04-28,102116.884915221,104264.79183865394,100197.13080221697
2025-04-29,102188.64099980524,104892.51659050581,100828.30100864495
2025-04-30,101581.18176647695,104334.6376053595,100868.33637863449
2025-05-01,103201.21217882204,107343.36395436815,101583.1721093119
2025-05-02,105554.65528871118,109719.65341853422,103091.08892174836
2025-05-05,105197.2463188886,109567.12929740844,102499.93168790014
2025-05-06,104591.57025730745,108824.06600514958,101643.19716753396
2025-05-07,105947.02949202227,109393.44099737682,102070.66293197325
2025-05-08,106848.01974760268,110555.49817275343,102781.87028226559
2025-05-09,106708.40995274835,110615.92204964692,102650.91262725648
2025-05-12,110823.01973468652,114039.5444516558,106043.25790930928
2025-05-13,113587.98130200958,115270.85648472917,106743.55772103665
2025-05-14,114804.7711603607,115549.58298626385,106879.98034403316
2025-05-15,115508.74274262262,116432.14995422839,107402.01917128684
2025-05-16,115577.10325189852,116451.22994322628,108082.30689737192
2025-05-19,115818.97050266579,116953.17563216074,108200.53162491863
2025-05-20,115853.51340946091,117200.10467893712,107836.74169649626
2025-05-21,114226.0168185181,115758.10679038505,106019.6174432819
2025-05-22,114308.4551434173,115761.92389272133,106061.44460605418
2025-05-23,113486.84707136838,114967.635000668,105337.50432829943
2025-05-27,116016.03174463588,117279.1880842559,107527.53425571838
2025-05-28,116004.28521070379,117204.68007135007,106905.43500025307
2025-05-29,117225.09456762644,117570.6913888461,107327.43579670494
2025-05-30,117196.1668945482,118506.68026158857,107207.38568026082
2025-06-02,119601.93992290768,119990.32551018536,107811.28704027634
2025-06-03,120546.29425614294,122058.00602144378,108426.09593885683
2025-06-04,121652.7987954498,122536.18144447269,108396.97930613716
2025-06-05,119928.1532778426,121973.07984729375,107873.11508998602
2025-06-06,119557.05420463512,121440.90492044597,108980.86858051035
2025-06-09,118935.55171626755,121578.40101034322,109079.09242111964
2025-06-10,119574.99573047544,121999.66183998263,109697.54089879009
2025-06-11,119873.8649709886,122853.69163065744,109384.68268021735
2025-06-12,120402.9781881444,124120.53226800439,109819.40520542677
2025-06-13,118336.8105499329,121945.07531551011,108591.61279716318
2025-06-16,120027.93085847385,123836.7398619169,109624.77171440073
2025-06-17,119198.35368970939,123212.2551105727,108688.01124887503
2025-06-18,119766.76851024001,124385.58499247399,108671.64994102759
2025-06-20,119387.23886687377,123886.97400776314,108416.42025782999
2025-06-23,121637.6921789494,125350.3989098252,109487.30761184926
2025-06-24,123680.34583432559,127997.78501333468,110696.83493243367
2025-06-25,123463.86055184738,129951.00162799688,110758.86455883144
2025-06-26,125261.979784152,131656.3514852436,111625.42034338808
2025-06-27,125385.3083214921,131849.24053726313,112180.01380576334
2025-06-30,126704.79097077447,133023.60376640232,112716.37577657415
2025-07-01,123755.54541732681,129511.56373877864,112679.89039603541
2025-07-02,125082.10065100828,130659.38146820129,113190.69692228228
2025-07-03,126928.9248316843,132497.0613264702,114082.79695269799
