model_name,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,model_dim,training_lookback_days,sequence_lookback_window,target_clip_quantile,objective_name,ending_capital_gap_vs_baseline,beat_baseline
transformer_d4_lb252_seq40_clip_q95,0.31151121098260526,0.31151121098260526,0.1992276396052451,0.13736564200464782,1.4616911676867475,2.1199571954114407,-0.13990699367690917,2.2265592505117087,0.047619047619047616,0.20585489372398547,0.20585489372398547,0.08761942901133501,0.10565631725861979,0.13347438566801723,0.6481838094340957,2025-03-17,2026-03-17,100000.0,129739.25033549719,29739.250335497185,7252.0,1682.6923076923076,0.010431212479741927,4.0,252.0,40.0,0.95,clip_q95,11445.399837328005,True
transformer_d4_lb252_seq40_clip_q90,0.3085849902369908,0.3085849902369908,0.19847489436867585,0.13756997592054632,1.4552317013216394,2.0994912317828214,-0.14473886353791543,2.13201197449056,0.05047619047619048,0.20585489372398547,0.20585489372398547,0.08519275167159512,0.10273009651300535,0.13360451732056472,0.6297213184341687,2025-03-17,2026-03-17,100000.0,129279.44101240888,29279.441012408875,7252.0,1682.6923076923076,0.01043167772060799,4.0,252.0,40.0,0.9,clip_q90,10985.590514239695,True
transformer_d4_lb252_seq20_clip_q95,0.3063277720381068,0.3063277720381068,0.19844366939245453,0.13863476387709892,1.4468739185826542,2.0710748265587893,-0.15042577866072482,2.0364047623047936,0.05333333333333334,0.20585489372398547,0.20585489372398547,0.08332086956485751,0.10047287831412133,0.12885868768192038,0.6396900793321723,2025-03-17,2026-03-17,100000.0,128939.08576507162,28939.08576507162,7252.0,1682.6923076923076,0.010863663695778887,4.0,252.0,20.0,0.95,clip_q95,10645.23526690244,True
transformer_d4_lb252_seq20_clip_q90,0.275964029920176,0.275964029920176,0.1990783632161573,0.13944734037243986,1.324632093285068,1.8910765045103848,-0.15042577866072482,1.8345527766393965,0.052380952380952375,0.20585489372398547,0.20585489372398547,0.05814060759804662,0.07010913619619052,0.12957913594536735,0.4554147020533448,2025-03-17,2026-03-17,100000.0,125942.07901615731,25942.07901615731,7252.0,1682.6923076923076,0.010790650484599438,4.0,252.0,20.0,0.9,clip_q90,7648.228517988129,True
transformer_d4_lb252_seq20_raw,0.2717568620112787,0.2717568620112787,0.19809886989140674,0.13924567432247856,1.3135265068383264,1.868698024862622,-0.15042577866072482,1.8065843795577614,0.051428571428571435,0.20585489372398547,0.20585489372398547,0.054651657202112736,0.06590196828729322,0.12946306066973928,0.4288078072926444,2025-03-17,2026-03-17,100000.0,125526.81693917718,25526.81693917718,7252.0,1682.6923076923076,0.010931677232583675,4.0,252.0,20.0,,raw,7232.966441008,True
transformer_d4_lb252_seq40_raw,0.26850238100031776,0.26850238100031776,0.20046114572319018,0.1380361118363336,1.2873997258507162,1.8696094856232093,-0.14473886353791543,1.855081451085054,0.047619047619047616,0.20585489372398547,0.20585489372398547,0.0519527578337895,0.06264748727633229,0.13355977242597,0.3996733273220367,2025-03-17,2026-03-17,100000.0,125319.5474211661,25319.547421166106,7252.0,1682.6923076923076,0.010375141060376198,4.0,252.0,40.0,,raw,7025.696922996925,True
transformer_d4_lb252_seq10_raw,0.21317182092238585,0.21317182092238585,0.1960467768196968,0.13462013715765958,1.0838677129964562,1.578432291916598,-0.1696007253851236,1.2569039456542563,0.05333333333333333,0.20585489372398547,0.20585489372398547,0.006067833896501229,0.00731692719840038,0.10054083079964618,0.07753492948085647,2025-03-17,2026-03-17,100000.0,120138.05801087739,20138.058010877387,7252.0,1682.6923076923076,0.010665866237391238,4.0,252.0,10.0,,raw,1844.2075127082062,True
transformer_d4_lb252_seq10_clip_q90,0.2074175509143128,0.2074175509143128,0.19609084690651746,0.1352623448024818,1.0594066759613847,1.5358298912460873,-0.1696007253851236,1.2229756119457391,0.05333333333333333,0.20585489372398547,0.20585489372398547,0.00129589156909371,0.0015626571903273323,0.10157965378922497,0.029992294599801867,2025-03-17,2026-03-17,100000.0,119568.22378614693,19568.223786146933,7252.0,1682.6923076923076,0.010607333894944728,4.0,252.0,10.0,0.9,clip_q90,1274.3732879777526,True
transformer_d4_lb252_seq10_clip_q95,0.2074175509143128,0.2074175509143128,0.19609084690651746,0.1352623448024818,1.0594066759613847,1.5358298912460873,-0.1696007253851236,1.2229756119457391,0.05333333333333333,0.20585489372398547,0.20585489372398547,0.00129589156909371,0.0015626571903273323,0.10157965378922497,0.029992294599801867,2025-03-17,2026-03-17,100000.0,119568.22378614693,19568.223786146933,7252.0,1682.6923076923076,0.010644163237233915,4.0,252.0,10.0,0.95,clip_q95,1274.3732879777526,True
configured_baseline,0.1964442080666926,0.1964442080666926,0.1894388205758218,0.1342639580393356,1.0420289730138201,1.4702437090059566,-0.13094361958204437,1.5002197792738425,0.054285714285714284,0.20585489372398547,0.20585489372398547,-0.007804160937001536,-0.009410685657292861,0.1291338257862697,-0.05647324167713611,2025-03-17,2026-03-17,100000.0,118293.85049816918,18293.85049816918,,,,,,,,,0.0,False
