model_name,window_label,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,rebalance_count,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,model_dim,training_lookback_days,sequence_lookback_window,target_clip_quantile,objective_name,baseline_ending_capital,ending_capital_gap_vs_baseline,beat_baseline
configured_baseline,2022-03-10_to_2023-03-10,-0.0853250374786737,-0.0853250374786737,0.22873962991467883,0.16916588079794218,-0.27515774330280235,-0.3720577700087075,-0.2569325433057683,-0.33209120332075154,0.04857142857142858,-0.0824483663588168,-0.0824483663588168,-0.0031351599347506642,-0.0028766711198568995,0.12372315054482481,-0.03514943688202551,2022-03-10,2023-03-10,100000.0,90892.37819355274,-9107.621806447263,12,,,,,,,,,90892.37819355274,0.0,False
transformer_d4_lb252_seq40_raw,2022-03-10_to_2023-03-10,-0.11771721772502808,-0.11771721772502808,0.22816424220472345,0.16929541028241693,-0.43436909553922476,-0.5854115912270048,-0.2234181477096614,-0.5268919240974335,0.04666666666666667,-0.0824483663588168,-0.0824483663588168,-0.03843800182258028,-0.035268851366211273,0.11916367267810804,-0.3400097807490731,2022-03-10,2023-03-10,100000.0,88228.2782274972,-11771.721772502802,12,7145.333333333333,1646.25,0.012696778162962183,4.0,252.0,40.0,,raw,90892.37819355274,-2664.099966055539,False
transformer_d4_lb252_seq40_clip_q90,2022-03-10_to_2023-03-10,-0.126016139297502,-0.126016139297502,0.23049606793717578,0.17288322956691887,-0.46854318173657955,-0.6246838477022549,-0.22060207870625925,-0.5712373157883869,0.04857142857142857,-0.0824483663588168,-0.0824483663588168,-0.047482638950564815,-0.04356777293868519,0.12202213958702791,-0.40489930692861764,2022-03-10,2023-03-10,100000.0,87398.3860702498,-12601.613929750194,12,7145.333333333333,1646.25,0.012509633016476363,4.0,252.0,40.0,0.9,clip_q90,90892.37819355274,-3493.992123302931,False
transformer_d4_lb252_seq40_clip_q95,2022-03-10_to_2023-03-10,-0.14296953482952235,-0.14296953482952235,0.23031595380867273,0.17309063743721612,-0.554095126201486,-0.7372839419932328,-0.227196030449481,-0.6292783132991967,0.047619047619047616,-0.0824483663588168,-0.0824483663588168,-0.06595941443702213,-0.060521168470705544,0.1233779377749498,-0.5594700919496687,2022-03-10,2023-03-10,100000.0,85703.04651704777,-14296.95348295223,12,7145.333333333333,1646.25,0.012580094804596514,4.0,252.0,40.0,0.95,clip_q95,90892.37819355274,-5189.331676504968,False
transformer_d4_lb252_seq20_raw,2022-03-10_to_2023-03-10,-0.1734530616013873,-0.1734530616013873,0.2391485684725154,0.1772914052945336,-0.6764144448383235,-0.9124161766808663,-0.2133825438274064,-0.812873717269413,0.047619047619047616,-0.0824483663588168,-0.0824483663588168,-0.09918209712234971,-0.09100469524257049,0.11146204185273427,-0.925632288462916,2022-03-10,2023-03-10,100000.0,82654.69383986127,-17345.30616013873,12,7145.333333333333,1646.25,0.014070025640625866,4.0,252.0,20.0,,raw,90892.37819355274,-8237.684353691468,False
transformer_d4_lb252_seq20_clip_q95,2022-03-10_to_2023-03-10,-0.17844258474591457,-0.17844258474591457,0.23892083966515837,0.17919406729516515,-0.7024862899385484,-0.9366304185111174,-0.21300212358241422,-0.8377502615689746,0.04666666666666667,-0.0824483663588168,-0.0824483663588168,-0.10461996346315394,-0.09599421838709776,0.11241887323161417,-0.9717935236726503,2022-03-10,2023-03-10,100000.0,82155.74152540855,-17844.25847459145,12,7145.333333333333,1646.25,0.01369191687050049,4.0,252.0,20.0,0.95,clip_q95,90892.37819355274,-8736.636668144187,False
transformer_d4_lb252_seq10_raw,2022-03-10_to_2023-03-10,-0.18073492341048703,-0.18073492341048703,0.20127141212096086,0.1494115592113571,-0.889283374223554,-1.1979482809122732,-0.23337828897013768,-0.7744290362571528,0.05047619047619047,-0.0824483663588168,-0.0824483663588168,-0.10711828462626449,-0.09828655705167022,0.1060175270319781,-1.1356295753723038,2022-03-10,2023-03-10,100000.0,81926.5076589513,-18073.492341048695,12,7145.333333333333,1646.25,0.013770553144040328,4.0,252.0,10.0,,raw,90892.37819355274,-8965.870534601432,False
transformer_d4_lb252_seq10_clip_q90,2022-03-10_to_2023-03-10,-0.1815815465292544,-0.1815815465292544,0.20295033094964438,0.15170364283590573,-0.8852780846945486,-1.184332010178345,-0.2508613872042317,-0.72383218698151,0.047619047619047616,-0.0824483663588168,-0.0824483663588168,-0.10804098269330153,-0.0991331801704376,0.10606937609470113,-1.1414868591553253,2022-03-10,2023-03-10,100000.0,81841.84534707456,-18158.15465292544,12,7145.333333333333,1646.25,0.013228269680639717,4.0,252.0,10.0,0.9,clip_q90,90892.37819355274,-9050.532846478178,False
transformer_d4_lb252_seq20_clip_q90,2022-03-10_to_2023-03-10,-0.19681772533091546,-0.19681772533091546,0.24262183970424045,0.1818594825853951,-0.7812528372677524,-1.0422827446627854,-0.2345043328000963,-0.839292489741301,0.047619047619047616,-0.0824483663588168,-0.0824483663588168,-0.12464623763813587,-0.11436935897209866,0.11164232819022528,-1.1730167354500314,2022-03-10,2023-03-10,100000.0,80318.22746690846,-19681.772533091542,12,7145.333333333333,1646.25,0.013526826658554284,4.0,252.0,20.0,0.9,clip_q90,90892.37819355274,-10574.150726644279,False
transformer_d4_lb252_seq10_clip_q95,2022-03-10_to_2023-03-10,-0.2016173312166336,-0.2016173312166336,0.20324020130717993,0.1526867242541108,-1.0055712618734083,-1.338508679718198,-0.2508613872042317,-0.8037001368109815,0.04857142857142857,-0.0824483663588168,-0.0824483663588168,-0.12987712133965734,-0.1191689648578168,0.10806775320273466,-1.3489854287805887,2022-03-10,2023-03-10,100000.0,79838.26687833664,-20161.73312166336,12,7145.333333333333,1646.25,0.013414659257326484,4.0,252.0,10.0,0.95,clip_q95,90892.37819355274,-11054.111315216098,False
transformer_d4_lb252_seq20_raw,2023-03-13_to_2024-03-12,0.8008938197971796,0.8008938197971796,0.20611075857986125,0.12003200772207304,2.9600446616651053,5.082786351942949,-0.12033457774514289,6.655558483725234,0.045714285714285714,0.3594734313506083,0.3594734313506083,0.3246995331185174,0.4414203884465713,0.1439887965417561,2.0534521901084224,2023-03-13,2024-03-12,100000.0,180340.16954728248,80340.16954728248,12,6899.5,1628.3333333333333,0.008534936601689231,4.0,252.0,20.0,,raw,153956.87049679997,26383.299050482514,True
transformer_d4_lb252_seq20_clip_q95,2023-03-13_to_2024-03-12,0.7889216384366999,0.7889216384366999,0.2069406742728037,0.12052290307485702,2.9166824601520016,5.008012747325128,-0.11963877960291958,6.594196639711023,0.04476190476190477,0.3594734313506083,0.3594734313506083,0.31589304886925507,0.42944820708609166,0.1453527641689334,1.9893484348954595,2023-03-13,2024-03-12,100000.0,179060.1909870324,79060.1909870324,12,6899.5,1628.3333333333333,0.00843186284202503,4.0,252.0,20.0,0.95,clip_q95,153956.87049679997,25103.320490232436,True
transformer_d4_lb252_seq20_clip_q90,2023-03-13_to_2024-03-12,0.7673233852307688,0.7673233852307688,0.20699513236294412,0.12005180019808925,2.8571204752072066,4.926290401031458,-0.11649124489727336,6.586961843419437,0.045714285714285714,0.3594734313506083,0.3594734313506083,0.3000058290767553,0.40784995388016054,0.143441992419123,1.931004200616141,2023-03-13,2024-03-12,100000.0,177068.19743654714,77068.19743654714,12,6899.5,1628.3333333333333,0.0084762906028688,4.0,252.0,20.0,0.9,clip_q90,153956.87049679997,23111.326939747174,True
transformer_d4_lb252_seq40_clip_q90,2023-03-13_to_2024-03-12,0.7336643054439709,0.7336643054439709,0.21798593780541775,0.12348614912262189,2.635030002487379,4.65152966805406,-0.11469999339321268,6.3963761787573485,0.04,0.3594734313506083,0.3594734313506083,0.2752469194794134,0.3741908740933626,0.15339718384309087,1.6947934680941334,2023-03-13,2024-03-12,100000.0,174185.86368218943,74185.86368218943,12,6899.5,1628.3333333333333,0.008615431091837052,4.0,252.0,40.0,0.9,clip_q90,153956.87049679997,20228.993185389467,True
transformer_d4_lb252_seq40_clip_q95,2023-03-13_to_2024-03-12,0.7336643054439709,0.7336643054439709,0.21798593780541775,0.12348614912262189,2.635030002487379,4.65152966805406,-0.11469999339321268,6.3963761787573485,0.04,0.3594734313506083,0.3594734313506083,0.2752469194794134,0.3741908740933626,0.15339718384309087,1.6947934680941334,2023-03-13,2024-03-12,100000.0,174185.86368218943,74185.86368218943,12,6899.5,1628.3333333333333,0.008664608320663498,4.0,252.0,40.0,0.95,clip_q95,153956.87049679997,20228.993185389467,True
transformer_d4_lb252_seq40_raw,2023-03-13_to_2024-03-12,0.71546775502855,0.71546775502855,0.21805271834040357,0.12446823431265222,2.585812729403288,4.5300192284345,-0.11506164983386302,6.218125292498504,0.04,0.3594734313506083,0.3594734313506083,0.26186192055571755,0.3559943236779417,0.15342622691440905,1.6256709087190795,2023-03-13,2024-03-12,100000.0,172357.60786577003,72357.60786577003,12,6899.5,1628.3333333333333,0.008752092632831636,4.0,252.0,40.0,,raw,153956.87049679997,18400.73736897006,True
configured_baseline,2023-03-13_to_2024-03-12,0.5433925869138676,0.5433925869138676,0.19761625537205604,0.11798819218328473,2.2962651221372585,3.845972265371384,-0.11364746159506445,4.781387804771404,0.049523809523809526,0.3594734313506083,0.3594734313506083,0.13528705403278063,0.18391915556325933,0.13186375346362839,1.0568209237297472,2023-03-13,2024-03-12,100000.0,153956.87049679997,53956.870496799966,12,,,,,,,,,153956.87049679997,0.0,False
transformer_d4_lb252_seq10_clip_q90,2023-03-13_to_2024-03-12,0.535480768979393,0.535480768979393,0.18421855234579676,0.11198599981661671,2.421604173207302,3.983573088362027,-0.1256091440323195,4.263071555058227,0.047619047619047616,0.3594734313506083,0.3594734313506083,0.12946728753200065,0.17600733762878473,0.12179649844314469,1.081159768874147,2023-03-13,2024-03-12,100000.0,153548.47205322707,53548.47205322707,12,6899.5,1628.3333333333333,0.008890503773245633,4.0,252.0,10.0,0.9,clip_q90,153956.87049679997,-408.3984435728926,False
transformer_d4_lb252_seq10_raw,2023-03-13_to_2024-03-12,0.5289608249689843,0.5289608249689843,0.18601551616439105,0.11395280481292322,2.3771017720337415,3.880359187525661,-0.12560914403232015,4.211164951756051,0.04857142857142857,0.3594734313506083,0.3594734313506083,0.12467135415069786,0.16948739361837606,0.12322806450519515,1.036735199703153,2023-03-13,2024-03-12,100000.0,153140.69975268544,53140.69975268544,12,6899.5,1628.3333333333333,0.009044399687864387,4.0,252.0,10.0,,raw,153956.87049679997,-816.1707441145263,False
