effective_date,ticker,selection_rank,selection_score,avg_dollar_volume_60,close,universe_age_days
2018-09-28,AMZN,1,8839262015.66976,8839262015.66976,100.1500015258789,269.0
2018-09-28,AAPL,2,5762359620.863774,5762359620.863774,53.42360305786133,269.0
2018-09-28,META,3,4863302492.149022,4863302492.149022,163.17945861816406,269.0
2018-09-28,NFLX,4,4049232230.178611,4049232230.178611,37.41299819946289,269.0
2018-09-28,AMD,5,2773396805.8249316,2773396805.8249316,30.889999389648438,269.0
2018-09-28,MSFT,6,2446543242.0906577,2446543242.0906577,106.30697631835938,269.0
2018-09-28,NVDA,7,2445140651.610565,2445140651.610565,6.959708213806152,269.0
2018-09-28,GOOGL,8,2183456766.8839774,2183456766.8839774,59.8592643737793,269.0
2018-09-28,JPM,9,1132408796.0004044,1132408796.0004044,91.677734375,269.0
2018-09-28,BA,10,1028265591.776123,1028265591.776123,359.71295166015625,269.0
2018-09-28,AVGO,11,1001341891.3107237,1001341891.3107237,20.228500366210938,269.0
2018-09-28,INTC,12,957327473.0730757,957327473.0730757,40.444252014160156,269.0
2018-09-28,BKNG,13,830323976.1287435,830323976.1287435,1947.6162109375,269.0
2018-09-28,ORCL,14,800235461.280028,800235461.280028,46.16008377075195,269.0
2018-09-28,C,15,783833379.5229276,783833379.5229276,55.41400146484375,269.0
2018-09-28,DIS,16,747525613.6001205,747525613.6001205,112.00131225585938,269.0
2018-09-28,CRM,17,729266076.5973663,729266076.5973663,157.1209259033203,269.0
2018-09-28,CSCO,18,724343607.9240099,724343607.9240099,38.99502182006836,269.0
2018-09-28,GE,19,711903367.4682198,711903367.4682198,52.265594482421875,269.0
2018-09-28,ADBE,20,698774248.0046335,698774248.0046335,269.95001220703125,269.0
2018-09-28,QCOM,21,688991600.8835474,688991600.8835474,59.77638244628906,269.0
2018-09-28,JNJ,22,674182276.2145996,674182276.2145996,112.18790435791016,269.0
2018-09-28,T,23,660680567.4647039,660680567.4647039,14.834700584411621,269.0
2018-09-28,HD,24,647928398.0058798,647928398.0058798,172.2300262451172,269.0
2018-09-28,MA,25,624863759.2101034,624863759.2101034,213.47549438476562,269.0
2018-09-28,XOM,26,598859202.8518041,598859202.8518041,60.388771057128906,269.0
2018-09-28,CMCSA,27,576030045.1697938,576030045.1697938,27.192813873291016,269.0
2018-09-28,PFE,28,566847396.1786487,566847396.1786487,29.621183395385742,269.0
2018-09-28,UNH,29,554130453.0636597,554130453.0636597,234.65675354003906,269.0
