effective_date,ticker
2018-01-01,AAPL
2018-01-01,AMZN
2018-01-01,AVGO
2018-01-01,COST
2018-01-01,GOOGL
2018-01-01,JPM
2018-01-01,META
2018-01-01,MSFT
2018-01-01,NVDA
2018-01-01,XOM
2021-01-01,AAPL
2021-01-01,ABBV
2021-01-01,AMZN
2021-01-01,AVGO
2021-01-01,BAC
2021-01-01,COST
2021-01-01,CRM
2021-01-01,GOOGL
2021-01-01,HD
2021-01-01,JNJ
2021-01-01,JPM
2021-01-01,KO
2021-01-01,MA
2021-01-01,META
2021-01-01,MSFT
2021-01-01,NVDA
2021-01-01,PG
2021-01-01,V
2021-01-01,WMT
2021-01-01,XOM
2024-01-01,AAPL
2024-01-01,ABBV
2024-01-01,AMD
2024-01-01,AMZN
2024-01-01,AVGO
2024-01-01,BAC
2024-01-01,COST
2024-01-01,CRM
2024-01-01,CVX
2024-01-01,GOOGL
2024-01-01,HD
2024-01-01,JNJ
2024-01-01,JPM
2024-01-01,KO
2024-01-01,LLY
2024-01-01,MA
2024-01-01,META
2024-01-01,MRK
2024-01-01,MSFT
2024-01-01,NFLX
2024-01-01,NVDA
2024-01-01,ORCL
2024-01-01,PEP
2024-01-01,PG
2024-01-01,TMO
2024-01-01,TSLA
2024-01-01,UNH
2024-01-01,V
2024-01-01,WMT
2024-01-01,XOM
